line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
65,egobody_recording_20220225_S24_S25_01_medium_kinect_15_kinect_12_b02966,recording_20220225_S24_S25_01,,medium,success,success,,535.4200682640076,3,152.9739643772258,152.9739643772258,229.79608369083428,152.96130190280257,317.60650630368787,153.5233769539327,152.9739643772258,0.1610316460569248,0.4485749593199166,0.04635486687476017,0.6722915874023475,4.776621797896104,47.61797967883528,,0.006779661016949152,0.0,0.006666666666666667,0.006896551724137931,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line065/onlinehmr.evaluation.json,20698
66,egobody_recording_20220225_S24_S25_01_small_kinect_13_kinect_14_b02966,recording_20220225_S24_S25_01,,small,success,success,,575.472797870636,3,,,59.091081336584054,42.11571183683194,73.46558973027975,,102.36829726511462,0.056482660831937086,0.11001903888475936,,,,,,0.2516778523489933,0.0,0.25,0.2533783783783784,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line066/onlinehmr.evaluation.json,19643
67,egobody_recording_20220225_S24_S25_02_extreme_kinect_14_kinect_15_b03501,recording_20220225_S24_S25_02,,extreme,success,success,,590.4823572635651,4,976.9475691625904,998.4541964386539,130.72944261088784,61.43086061760453,161.99105071214262,979.1049605370939,998.4541964386539,0.233952631830193,0.4858873038921494,0.07096053225161296,1.3223761570733474,5.2977560121744895,98.40830907353887,,0.3392,7.0,0.51,0.4707692307692308,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line067/onlinehmr.evaluation.json,21118
68,egobody_recording_20220225_S24_S25_02_medium_kinect_12_kinect_15_b03501,recording_20220225_S24_S25_02,,medium,success,success,,575.4786908626556,4,2052.394420793141,1372.915466362645,144.90234201627962,56.85644678807717,175.3376240756419,,1372.915466362645,0.1560627815468436,0.8542437137732419,,,,,,0.21508828250401285,5.0,0.37,0.34365325077399383,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line068/onlinehmr.evaluation.json,19531
69,egobody_recording_20220225_S24_S25_02_small_kinect_13_kinect_14_b03501,recording_20220225_S24_S25_02,,small,success,success,,590.4932851791382,3,459.81086290473615,322.8189479535806,69.54215567270889,44.94898083116806,90.25217231321528,461.9778729425914,322.8189479535806,0.057125077693804135,0.10687453771201708,0.01843349831297357,0.22793720907784334,1.2681384726243154,16.726198700723778,,0.4882154882154882,1.0,0.49,0.5,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line069/onlinehmr.evaluation.json,21029
70,egobody_recording_20220225_S25_S24_01_extreme_kinect_15_kinect_14_b03341,recording_20220225_S25_S24_01,,extreme,success,success,,625.5122158527374,10,2345.905587803137,1166.4760301344047,169.75806126367135,62.75384237280392,210.26604424415171,2350.1453733185604,1166.4760301344047,0.23769313231882458,0.873149132198785,0.06500976228196916,1.3217139655558785,7.721724655991545,98.77273814625352,,0.09234507897934387,59.0,0.39,0.2237093690248566,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line070/onlinehmr.evaluation.json,21121
71,egobody_recording_20220225_S25_S24_01_medium_kinect_15_kinect_12_b03341,recording_20220225_S25_S24_01,,medium,success,success,,510.42241072654724,3,2894.7590838999217,286.2738704082143,78.12140154028432,37.70413321093001,95.28935359369208,2897.436093786472,286.2738704082143,0.15843784814696937,0.4872655395236851,0.04602899682011553,0.6533328606412109,5.142063378517797,47.72950690117036,,0.30354131534569984,1.0,0.30666666666666664,0.31399317406143346,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line071/onlinehmr.evaluation.json,20880
72,egobody_recording_20220225_S25_S24_01_small_kinect_13_kinect_14_b03341,recording_20220225_S25_S24_01,,small,success,success,,510.4162230491638,3,2949.9687585340994,368.1211640516452,74.2756222304756,34.44968028473695,89.71500533818103,2950.6271588337104,368.1211640516452,0.059167438190703726,0.1171177088781001,0.018158843064087136,0.2307203503659532,1.920531902470853,16.788835161548825,1360.096747280851,0.3825503355704698,0.0,0.38,0.38513513513513514,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line072/onlinehmr.evaluation.json,21152
73,egobody_recording_20220225_S27_S26_01_extreme_kinect_15_kinect_14_b02876,recording_20220225_S27_S26_01,,extreme,success,success,,530.42511677742,4,2191.941442568719,1003.631170466645,154.9534546645233,103.70604690797218,202.31839018964448,2217.3978192118834,1003.631170466645,0.23551189416949891,0.8521816551237744,0.0682325951329342,1.322993661376722,6.331746681688076,98.51956490158301,,0.45209580838323354,15.0,0.7366666666666667,0.6005434782608695,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line073/onlinehmr.evaluation.json,21192
74,egobody_recording_20220225_S27_S26_01_medium_kinect_15_kinect_12_b02876,recording_20220225_S27_S26_01,,medium,success,success,,525.4246900081635,3,2416.4153199882544,893.4326558846301,108.01095592553382,61.391241701639814,135.3663940733128,2438.9976424868996,893.4326558846301,0.1746939909070299,0.4412463726836973,0.058978696291307295,0.6820189207505803,4.202791155629013,47.605312214437966,,0.7318718381112985,1.0,0.73,0.7474402730375427,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egobody/attempt02/line074/onlinehmr.evaluation.json,20834
