offset,continued_translation_capture_macro,reset_translation_capture_macro,continued_rotation_capture_macro,reset_rotation_capture_macro
1,0.7114542710754956,0.012146476125542949,12.162905660975253,0.14552512926061661
2,0.8615403277938486,0.011205575155819228,13.55007294547635,0.13229522941112196
3,0.982581083061373,0.012060693143952713,14.757458581900924,0.13048241703927368
4,1.040160438890331,0.014253850025830276,14.428838511090714,0.13833959319483632
5,1.0718055956214112,0.015913216118425316,14.635421736181751,0.14555980939257984
6,1.0879307215239005,0.018592538031123786,14.697792176600089,0.16071838760793375
7,1.129806456376038,0.021631602465222426,14.697696868519412,0.1770078005904867
8,1.1666876512088926,0.023829150096234555,14.810452678881672,0.19066979209942492
9,1.1895653709816665,0.027449675586444473,14.829729414028012,0.20723759273199036
10,1.2037267498890658,0.029665688733249842,14.842370049305224,0.21709567339921446
11,1.2276044283232521,0.03240417720585123,14.862653071791321,0.23146041653963514
12,1.2378492924989888,0.034989462402762316,14.92894861635145,0.2430373748365675
13,1.2480028277657391,0.03647337141857935,14.948252741604438,0.2545585540102713
14,1.261567829626483,0.038637016609721755,15.007735961564848,0.2663160442708793
15,1.2745707423529409,0.04090418050957491,15.037326646637663,0.27797379362238
16,1.2849487715416694,0.0425628631084252,15.054601374835793,0.28932917156642124
17,1.29518213257281,0.04453332520465051,15.116607767356571,0.30086288984646287
18,1.3058594168201378,0.04593524851277414,15.215203498181348,0.3098430286074595
19,1.3153039602867818,0.047181152075920975,15.276438306933667,0.3143088980930521
20,1.3295746864208922,0.04792280736957417,15.333835345337686,0.3197146274496755
21,1.3373421142545154,0.049149014752564696,15.404146591587576,0.3251310627354389
22,1.3537716466106067,0.05010105059890736,15.458921355155852,0.3311468372696045
23,1.3665752162977014,0.050907212732600474,15.538576359260016,0.3340543740245781
24,1.378726924029814,0.05226248076298329,15.620981651777218,0.3410885277538825
25,1.3911763244554702,0.05269707627414276,15.710712501185267,0.3456217330132943
26,1.4040409143120784,0.05409316248520826,15.775647958095108,0.3505737392671532
27,1.4201694495525528,0.054921854464433685,15.852773697943816,0.3580453765764421
28,1.4346586224911297,0.055644191894683545,15.940361602042868,0.36255568616451633
29,1.4465016122616081,0.05665475592713188,16.00697454469847,0.37143830877193273
30,1.462838179711971,0.05659699404302659,16.09584787932851,0.3745889750868518
31,1.4784063004388062,0.05772292463130443,16.16086255827048,0.38031689391022677
32,1.499279526521005,0.05886360553571232,16.232437215389226,0.3896943993097924
33,1.51321974118399,0.059255923913540426,16.28518416313294,0.39459356013222857
34,1.5282770261231176,0.0596755160037472,16.336260086761097,0.4014571207435719
35,1.542941881280839,0.0594568248066266,16.373394065573553,0.4095935962156324
36,1.5555524975438277,0.06042634055025425,16.425073813088677,0.4186262301269175
37,1.5728488611756914,0.060782881833277444,16.50155765366651,0.42473205962499955
38,1.587712214912747,0.06110902603323259,16.55709471217637,0.4341372413073299
39,1.6035258301390998,0.06167446395253556,16.611243590352533,0.4392979583219072
40,1.6202356093027934,0.06217536536462207,16.68597629045991,0.4485340196314781
41,1.6333149224082946,0.06205357710591522,16.72129822723301,0.45693865395673827
42,1.6479243356205084,0.06254166625114595,16.735813766632862,0.4665925058017326
43,1.6639969470403846,0.06353624154828545,16.753158577697754,0.47057161406894504
44,1.6798986563062934,0.0640982361690136,16.733795317473227,0.4804367149320345
45,1.6941140580213292,0.06483225800979399,16.740995904309333,0.4839753280598267
46,1.7089158392621289,0.0656798761992991,16.787282724222834,0.49049499453282047
47,1.7223582354255031,0.06635726198725199,16.862111072460852,0.49827137254838305
48,1.741290883279481,0.06701691754598987,16.917501982491107,0.5045490981805525
49,1.7535901883138985,0.06777551546315201,16.9386153631975,0.5122999603089786
