split,case_id,frames,strict_human3r_forward_seconds,strict_human3r_forward_fps,causal_detector_seconds,causal_detector_fps,whole_multi_method_protocol_seconds,frozen_candidate_postprocess_seconds,frozen_candidate_postprocess_fps,process_peak_host_rss_gib,gpu,precision
development,egobody_recording_20210907_S02_S01_01_extreme_kinect_11_kinect_13_b02196,150,41.64013363048434,3.602293915074913,17.716027857735753,8.466909241989145,431.0587153285742,0.5380051042884588,278.8077637263,12.750457763671875,NVIDIA L20,FP32
development,egobody_recording_20210907_S02_S01_01_medium_kinect_12_kinect_13_b02196,150,41.86064411047846,3.583318011163912,17.50801524054259,8.567504536587972,409.03861477971077,0.13224847987294197,1134.228538158721,12.821403503417969,NVIDIA L20,FP32
development,egobody_recording_20210907_S02_S01_01_small_kinect_12_kinect_11_b02196,150,41.54597088135779,3.6104584107169564,17.64035573322326,8.503229882008274,426.19184381049126,0.12610861752182245,1189.4508317327582,12.704029083251953,NVIDIA L20,FP32
development,egobody_recording_20210907_S04_S03_01_extreme_kinect_11_kinect_13_b02471,150,41.59083856642246,3.606563492593283,17.720311868935823,8.46486230656888,426.78213764727116,0.31944881472736597,469.5587934111376,12.863975524902344,NVIDIA L20,FP32
development,egobody_recording_20210907_S04_S03_01_medium_kinect_12_kinect_13_b02471,150,42.87455605529249,3.498578499717989,18.00807594601065,8.329596146179608,382.1022843476385,2.1739988373592496,68.99727700968073,12.825889587402344,NVIDIA L20,FP32
development,egobody_recording_20210907_S04_S03_01_small_kinect_12_kinect_11_b02471,150,44.93025199882686,3.338507872244218,17.39455894101411,8.623386227190819,317.04016630351543,0.15228206012398005,985.014254981039,12.894886016845703,NVIDIA L20,FP32
development,egobody_recording_20210907_S04_S03_02_extreme_kinect_13_kinect_11_b02176,150,45.99734173156321,3.261058016686876,15.915776366367936,9.42461093616326,299.90675494167954,0.12204261217266321,1229.0789039141778,12.753662109375,NVIDIA L20,FP32
development,egobody_recording_20210907_S04_S03_02_medium_kinect_12_kinect_13_b02176,150,41.51553108729422,3.613105651583663,16.993707913905382,8.826796409585222,368.0323476763442,0.12503663264214993,1199.6484296669623,12.867393493652344,NVIDIA L20,FP32
development,egobody_recording_20210907_S04_S03_02_small_kinect_11_kinect_12_b02176,150,41.716015154495835,3.595741334460469,17.07803592365235,8.783211410877547,318.4402708020061,0.1373974746093154,1091.7231224701868,12.825641632080078,NVIDIA L20,FP32
development,egobody_recording_20210910_S05_S06_01_extreme_kinect_11_kinect_13_b02971,150,41.334362318739295,3.6289419162515104,17.35236309096217,8.644355769510506,369.83480560965836,0.15984966047108173,938.3817241647278,12.837226867675781,NVIDIA L20,FP32
development,egobody_recording_20210910_S05_S06_01_medium_kinect_12_kinect_11_b02971,150,41.86093010939658,3.583293529503524,20.276345607824624,7.397782761313515,330.85440426133573,0.15168249607086182,988.907777004963,12.89410400390625,NVIDIA L20,FP32
development,egobody_recording_20210910_S05_S06_01_small_kinect_12_kinect_13_b02971,150,42.06208857148886,3.5661567243637826,17.618669606745243,8.513696172756031,325.3162247892469,0.1329899774864316,1127.9045446511475,12.867973327636719,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_01_extreme_kinect_13_kinect_11_b01411,150,44.210507191717625,3.3928586105001965,17.21311183925718,8.714287189949097,325.33080363925546,0.1343193044885993,1116.7419349817408,12.858245849609375,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_01_medium_kinect_12_kinect_11_b01411,150,42.934488501399755,3.493694818213793,16.26816400513053,9.220462736464555,336.3408333370462,0.15372494980692863,975.7687362291742,12.848033905029297,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_01_small_kinect_13_kinect_12_b01411,150,42.56255203578621,3.5242247662659265,16.77150233089924,8.943742608176798,331.7969414545223,0.1507049398496747,995.3223839220011,12.846656799316406,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_02_extreme_kinect_11_kinect_13_b02726,150,42.431167849339545,3.5351372022708727,18.10390604007989,8.285504778246079,324.42421171534806,3.5075970450416207,42.764319297178595,12.861209869384766,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_02_medium_kinect_12_kinect_11_b02726,150,43.06336411740631,3.4832392469628184,18.84380525164306,7.960175664993192,342.85853616707027,1.1832680320367217,126.767558945888,12.886337280273438,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_02_small_kinect_13_kinect_12_b02726,150,44.614942819811404,3.3621022581114244,18.824364201165736,7.968396616057341,317.75391728430986,0.13051792234182358,1149.2674516159802,12.872917175292969,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_03_extreme_kinect_13_kinect_11_b02716,150,43.64277057163417,3.4369953610940827,17.710517961531878,8.469543371109046,321.3789489194751,0.1265437165275216,1185.361107735262,12.87518310546875,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_03_medium_kinect_12_kinect_11_b02716,150,43.10083581041545,3.480210932794766,17.193486186675727,8.724234187959164,322.2438351167366,0.15569946449249983,963.3944502566071,12.84572982788086,NVIDIA L20,FP32
development,egobody_recording_20210910_S06_S05_03_small_kinect_12_kinect_13_b02716,150,42.675389816984534,3.5149063814831507,18.00239443127066,8.332224947779492,295.02483417931944,0.18980703875422478,790.2762773420133,12.842754364013672,NVIDIA L20,FP32
development,egobody_recording_20210911_S06_S07_01_extreme_kinect_13_kinect_11_b03451,150,41.81666851229966,3.5870863303201705,18.11427429318428,8.280762318832688,333.1128113158047,0.15479422826319933,969.028378402794,12.910572052001953,NVIDIA L20,FP32
development,egobody_recording_20210911_S06_S07_01_medium_kinect_12_kinect_11_b03451,150,42.0311118690297,3.568784962610669,18.2132804999128,8.23574863411993,332.0479227527976,0.12590355426073074,1191.3881294357147,12.887775421142578,NVIDIA L20,FP32
development,egobody_recording_20210911_S06_S07_01_small_kinect_13_kinect_12_b03451,150,42.95430969726294,3.49208265846158,16.043579743243754,9.349534355832759,328.7754377555102,0.1678706994280219,893.5448563155338,12.894027709960938,NVIDIA L20,FP32
development,egobody_recording_20210911_S06_S07_02_extreme_kinect_11_kinect_13_b02246,150,42.89731155708432,3.496722627952849,16.488812059164047,9.097077428123995,322.9699774412438,0.12278007064014673,1221.696641954471,12.850746154785156,NVIDIA L20,FP32
development,egobody_recording_20210911_S06_S07_02_medium_kinect_12_kinect_11_b02246,150,41.938703605905175,3.5766484679531025,18.564772507175803,8.0798189119754,291.22569311596453,0.1269263383001089,1181.7878149555922,12.920429229736328,NVIDIA L20,FP32
development,egobody_recording_20210911_S06_S07_02_small_kinect_13_kinect_12_b02246,150,43.83291163016111,3.4220861544772694,17.44296887796372,8.599453513300706,306.0011331150308,0.15620084013789892,960.3021332508542,12.832622528076172,NVIDIA L20,FP32
