Method,Access,EgoBody_W_mm,EgoBody_WA_mm,EgoBody_ATE_Sim3_m,EgoBody_Reg_success,EgoHumans_W_mm,EgoHumans_WA_mm,EgoHumans_ATE_SE3_m,EgoHumans_Reg_success
Human3R per-shot reset,per-shot online,752.6069711928769,589.4449092128459,1.1407098598246705,,1248.1150901648207,491.317157973006,4.411461075505848,
+ pelvis translation,boundary-time,500.17718581645494,431.756034724424,0.06841632901217999,1.0,1242.0797519961602,471.99727035817455,3.3263711839187895,1.0
+ human-joint SE(3),boundary-time,261.47820782588207,215.02019416630782,0.019128258369754916,1.0,896.9514164566758,339.90940980272023,1.7312997202866178,0.8222222222222222
+ scene registration + ICP,offline post-hoc,733.1996210549889,496.8859231349765,0.01966067163784506,1.0,1372.7709043053985,489.33841524754695,3.847124364610202,0.4111111111111111
Shot3R,streaming,258.83269644768603,201.6903095894276,0.016451692923067602,,866.8277871450724,336.85761221821673,1.423208453696695,
