ATE_SE3_m,ATE_Sim3_m,Coverage,IDF1,MPJPE_mm,PA-MPJPE_mm,Precision,W-MPJPE_mm,WA-MPJPE_mm,angle_stratum,case_id,dataset,inference_status,method,seconds,time_access,unit
1.7225368805306451,0.10010345861391705,1.0,0.8474074074074074,119.1453694622482,54.168935829814544,0.8,663.6504201076508,304.5986545233579,extreme,h4d_test_01_hugging_002_hugging_extreme_cam07_cam20_b00151,harmony4d,audited,JOSH,583.501711659017,offline_full_sequence,002_hugging
0.07841977561887627,0.01663931306758327,1.0,0.8355555555555556,141.6924951897806,59.216943387991826,0.8,239.87733364851107,160.72246369484037,small,h4d_test_01_hugging_002_hugging_small_cam19_cam20_b00151,harmony4d,audited,JOSH,586.0664003110141,offline_full_sequence,002_hugging
1.8690530463133155,0.12131721405551199,1.0,0.7263922518159807,74.61205424222906,46.505340363407065,0.5703422053231939,653.4636979112306,267.4793700209863,large,h4d_test_03_grappling2_028_grappling2_large_cam11_cam15_b00076,harmony4d,audited,JOSH,604.9476401540451,offline_full_sequence,028_grappling2
0.920942647496798,0.5059186917570964,0.9666666666666667,0.7134071340713407,104.7030573149227,58.59359962452737,0.5653021442495126,1102.9309684468922,231.52714823048535,large,h4d_test_01_hugging_002_hugging_large_cam11_cam16_b00151,harmony4d,audited,JOSH,649.7655535649974,offline_full_sequence,002_hugging
0.10293504863623208,0.02891320323792952,0.9066666666666666,0.5672575599582899,90.08349364555045,61.1190785273697,0.41274658573596357,502.323621248787,196.2857386787549,small,h4d_test_03_grappling2_028_grappling2_small_cam05_cam08_b00076,harmony4d,audited,JOSH,704.3676617279416,offline_full_sequence,028_grappling2
0.32620209077639745,0.0341155956500414,0.9633333333333334,0.5837837837837838,104.69194768293404,60.97446823445914,0.4624,905.0774024870572,278.88808279295256,medium,h4d_test_01_hugging_002_hugging_medium_cam11_cam14_b00151,harmony4d,audited,JOSH,750.3202026979998,offline_full_sequence,002_hugging
3.054562053703867,0.1722679516984572,0.97,0.24232633279483037,81.5606768045652,57.18322284032991,0.31023454157782515,987.5204406050071,549.3954986503408,extreme,h4d_test_03_grappling2_028_grappling2_extreme_cam14_cam16_b00076,harmony4d,audited,JOSH,849.5541877790238,offline_full_sequence,028_grappling2
0.5768624318854311,0.08083642440440532,1.0,0.3819223424570337,84.19214374752222,53.764732931874505,0.23603461841070023,683.1954501482073,450.7102725396635,medium,h4d_test_03_grappling2_028_grappling2_medium_cam10_cam16_b00076,harmony4d,audited,JOSH,1005.0918980889255,offline_full_sequence,028_grappling2
1.143760543905582,0.11847736299728834,0.5,0.44666666666666666,84.94474487367768,61.419279133322874,0.5,577.2472939344672,351.26490235674993,large,h4d_test_03_grappling2_030_grappling2_large_cam01_cam14_b00151,harmony4d,audited,JOSH,473.89607964706374,offline_full_sequence,030_grappling2
1.8441372903017312,0.11839555399605921,0.52,0.2838283828382838,97.61933403549762,64.75417244160985,0.5098039215686274,550.9335022301232,256.64443636757596,large,h4d_test_03_grappling2_033_grappling2_large_cam01_cam14_b00087,harmony4d,audited,JOSH,506.47166318492964,offline_full_sequence,033_grappling2
0.1690535065940018,0.18714348869545228,0.94,0.5965665236051502,85.43108710601813,59.515366332240355,0.4462025316455696,459.8554684111621,254.83366521590045,small,h4d_test_03_grappling2_030_grappling2_small_cam05_cam08_b00151,harmony4d,audited,JOSH,706.6635605129995,offline_full_sequence,030_grappling2
3.0527903071983844,0.17171950175838385,0.9933333333333333,0.4945878434637802,90.78804035305328,58.794934072475236,0.33074361820199777,1499.017700079192,556.1330208446976,extreme,h4d_test_03_grappling2_030_grappling2_extreme_cam14_cam16_b00151,harmony4d,audited,JOSH,865.979243264941,offline_full_sequence,030_grappling2
