ATE_SE3_m,ATE_SE3_m_case_support,ATE_SE3_m_unit_support,ATE_Sim3_m,ATE_Sim3_m_case_support,ATE_Sim3_m_unit_support,Coverage,Coverage_case_support,Coverage_unit_support,IDF1,IDF1_case_support,IDF1_unit_support,MPJPE_mm,MPJPE_mm_case_support,MPJPE_mm_unit_support,PA-MPJPE_mm,PA-MPJPE_mm_case_support,PA-MPJPE_mm_unit_support,Precision,Precision_case_support,Precision_unit_support,W-MPJPE_mm,W-MPJPE_mm_case_support,W-MPJPE_mm_unit_support,WA-MPJPE_mm,WA-MPJPE_mm_case_support,WA-MPJPE_mm_unit_support,aggregation,angle_stratum,camera_primary,dataset,method,seconds,seconds_case_support,seconds_unit_support,total_cases
0.4445454760812372,88,25,0.1419821519386462,88,25,0.9153030303030303,88,25,0.5527066102634252,88,25,98.29895430748122,88,25,65.65777460634442,88,25,0.5862821491828185,88,25,496.6014559441846,88,25,259.6076439337629,88,25,case_macro,all,ATE_Sim3_m,harmony4d,Human3R,,0,0,88
2.0155735125972516,88,25,1.3643359839415627,88,25,0.15856060606060607,88,25,0.06797072604731207,88,25,240.9099490691439,69,21,103.98582969401426,69,21,0.0715689835623479,88,25,750.8254205064524,30,14,335.86902062431955,30,14,case_macro,all,ATE_Sim3_m,harmony4d,OnlineHMR,,0,0,88
0.22329750391466238,88,25,0.01680019804327222,88,25,0.9125378787878788,88,25,0.636104889431971,88,25,97.93186421157834,88,25,65.53989515191452,88,25,0.5842626299180957,88,25,519.5542532704278,88,25,246.98658255333936,88,25,case_macro,all,ATE_Sim3_m,harmony4d,Shot3R,,0,0,88
1.4936051584722103,88,25,0.1534990981575026,88,25,0.9593939393939394,88,25,0.5512533628316325,88,25,82.19178267983364,88,25,51.807573064093674,88,25,0.442265257223031,88,25,770.1852574837129,88,25,369.72078065444265,88,25,case_macro,all,ATE_Sim3_m,harmony4d,JOSH,861.6923723457446,88,25,88
0.13261444753087678,21,21,0.07015054079618309,21,21,0.926984126984127,21,21,0.716704869041614,21,21,97.66606782407247,21,21,65.11885993560621,21,21,0.6754770905549784,21,21,415.2704310701157,21,21,220.80508959776583,21,21,case_macro,small,ATE_Sim3_m,harmony4d,Human3R,,0,0,21
0.18149086166957507,21,21,0.09395751206972568,21,21,0.16365079365079366,21,21,0.08470558288617798,21,21,240.87905991485022,17,17,118.71037568221591,17,17,0.08044948901454946,21,21,369.8300267366706,8,8,216.93482712216192,8,8,case_macro,small,ATE_Sim3_m,harmony4d,OnlineHMR,,0,0,21
0.0646543811177732,21,21,0.013771995507341001,21,21,0.9261904761904762,21,21,0.6978167547917267,21,21,97.6294613492414,21,21,65.08078916952984,21,21,0.6748472089727158,21,21,385.6144693801909,21,21,190.33304174853546,21,21,case_macro,small,ATE_Sim3_m,harmony4d,Shot3R,,0,0,21
0.12331468005742705,21,21,0.06248183946976728,21,21,0.946031746031746,21,21,0.6504795554853403,21,21,81.9655769678325,21,21,52.33464542210617,21,21,0.5177771951139517,21,21,415.8423734565634,21,21,204.05262393117658,21,21,case_macro,small,ATE_Sim3_m,harmony4d,JOSH,718.0954443538683,21,21,21
0.16009094931106532,21,21,0.0839044792250329,21,21,0.9325396825396826,21,21,0.5915962421962744,21,21,100.15388719962279,21,21,66.88025925297103,21,21,0.5093778041899917,21,21,482.9520744844858,21,21,230.70848573179654,21,21,case_macro,medium,ATE_Sim3_m,harmony4d,Human3R,,0,0,21
1.5219489533072539,21,21,1.2287186933764707,21,21,0.13317460317460317,21,21,0.053926107501508724,21,21,215.04020177091678,14,14,92.52816096834643,14,14,0.049101015423351324,21,21,405.428448204501,7,7,284.1987757383454,7,7,case_macro,medium,ATE_Sim3_m,harmony4d,OnlineHMR,,0,0,21
