method,display,temporal_access,cases,frames,total_seconds,mean_seconds_per_150_frames,population_stdev_seconds,median_seconds_per_150_frames,micro_average_fps
human3r,Human3R,online,5,750,602.1359614689718,120.42719229379436,3.218418870656956,118.88722860900452,1.2455658655070174
shot3r,Shot3R,online,5,750,838.7572203560267,167.75144407120533,4.00146582251629,168.0487235020264,0.8941800819093373
prompthmr,PromptHMR (SPEC),offline,5,750,3543.5241119861603,708.7048223972321,208.95067907766972,620.1374416351318,0.21165370300799838
onlinehmr,OnlineHMR,semi-online,5,750,5039.203946590424,1007.8407893180847,124.74376639311392,1045.858924627304,0.14883303155599756
trace,TRACE,online,5,750,224.94882154464722,44.989764308929445,21.497257878536917,33.86247491836548,3.3340917051710006
tram,TRAM,offline,5,750,2277.545205811097,455.5090411622194,60.6119825222865,423.27693386899773,0.329301915977955
josh,JOSH,offline,5,750,4748.223607156018,949.6447214312036,285.99370886512014,849.5541877790238,0.15795380800299288
