angle_stratum,scope,metric,estimate,ci95_low,ci95_high,available_clusters,total_clusters,bootstrap_samples,seed,availability_policy
extreme,case-macro,WA-MPJPE_mm,446.4585355468045,312.3216972375175,648.3692458359335,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,MPJPE_mm,243.62535583153013,195.36723953044768,293.8352645195714,20,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,PA-MPJPE_mm,96.18601651639425,82.31726204588915,111.02049319210779,20,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,MPVPE_mm,306.99747434605877,243.17378326069084,373.0019489685794,20,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,AdapterShared-W-MPJPE_mm,1466.0811894705566,896.45768991002,2134.5127816674863,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,AdapterShared-WA-MPJPE_mm,384.5900241158837,282.4610011011466,506.23384889596235,20,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,ATE-Sim3_m,2.0631734323154403,1.6933404862564114,2.4142182876889997,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,ATE-SE3_m,3.5167640077064446,3.0345794373599952,3.966864226600707,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,RPE-translation_m,0.04864972323563116,0.0427189736387067,0.05400981818874698,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,RPE-rotation_deg,1.0137042263726417,1.0102814414304124,1.016793070490746,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Camera-seam-translation_m,6.913451962268697,6.041267488036484,7.671439942080661,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Camera-seam-rotation_deg,150.28492099373216,149.90452710784828,150.62011371389795,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Human-seam_mm,861.732020864888,90.08820902390117,1633.375832705875,2,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,IDF1,0.06667358695064214,0.03598522919674806,0.1053458912255302,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,IDs,9.0,2.999000000000001,17.76,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Coverage,0.16240000000000002,0.08759666666666667,0.2558666666666667,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Precision,0.07670229091418981,0.03391783608099671,0.14363451596570606,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,W-MPJPE_mm,1264.5515546877828,702.1325281234564,1951.71483718132,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,WA-MPJPE_mm,446.4585355468045,313.6831103971513,645.6126928024979,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,MPJPE_mm,243.62535583153016,195.8946919040332,292.95271966705445,20,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,PA-MPJPE_mm,96.18601651639425,82.49368735170826,110.81611029999488,20,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,MPVPE_mm,306.99747434605877,243.58044876118316,372.03684011410456,20,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,AdapterShared-W-MPJPE_mm,1466.0811894705566,887.3156199630558,2130.3488924595054,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,AdapterShared-WA-MPJPE_mm,384.59002411588375,283.2567016865514,503.8293465592617,20,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,ATE-Sim3_m,2.0631734323154403,1.689955216777701,2.4137681611806077,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,ATE-SE3_m,3.5167640077064455,3.0352366896041896,3.9680016554437,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,RPE-translation_m,0.048649723235631145,0.042540800050594865,0.05397477872487088,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,RPE-rotation_deg,1.0137042263726417,1.0104023184940765,1.0166930661090237,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,Camera-seam-translation_m,6.913451962268697,6.011203177219629,7.666135509881901,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,Camera-seam-rotation_deg,150.2849209937322,149.9121384523785,150.6206015128662,10,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,Human-seam_mm,861.732020864888,90.08820902390117,1633.375832705875,2,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,IDF1,0.06667358695064213,0.0359875827689994,0.10578821590503554,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,IDs,9.0,2.96,17.72,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,Coverage,0.16240000000000002,0.08733000000000002,0.2561333333333333,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,Precision,0.07670229091418981,0.03415358312972272,0.1436289957557673,25,25,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,W-MPJPE_mm,816.5215433981746,458.80388444949165,1249.83440821739,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,WA-MPJPE_mm,377.3230432231656,256.12913093182635,517.1784260812967,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,MPJPE_mm,258.04291809972426,202.90517137794703,317.60591396584755,18,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,PA-MPJPE_mm,107.65729324469878,89.19171269357204,129.68013934413844,18,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,MPVPE_mm,324.4780203375117,256.1047973865969,395.6724228753373,18,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,AdapterShared-W-MPJPE_mm,1122.5728954400784,704.7803708560732,1643.3270079312801,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,AdapterShared-WA-MPJPE_mm,386.99008420082737,308.85746490261766,478.88162217163233,18,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,ATE-Sim3_m,1.9383824030762566,1.707692034815304,2.172327247349667,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,ATE-SE3_m,2.5561491810182675,2.3701753363208296,2.706337671418243,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,RPE-translation_m,0.03356273886053755,0.024286564810721716,0.04104109038844601,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,RPE-rotation_deg,0.6094562670270848,0.6039861977601313,0.6149632338087053,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,Camera-seam-translation_m,4.624282243618389,3.2726728068258724,5.674000504440092,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,Camera-seam-rotation_deg,89.77549745860068,89.11295588129292,90.42407951342746,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,Human-seam_mm,684.6976213585484,684.6976213585484,684.6976213585484,1,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,IDF1,0.06682470096457083,0.03159201119561017,0.10990759057631758,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,IDs,10.619047619047619,4.476190476190476,17.857142857142858,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,Coverage,0.17428571428571427,0.08507539682539682,0.28079365079365076,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,case-macro,Precision,0.07904536606837868,0.032959649290783155,0.13884455395038475,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,W-MPJPE_mm,816.5215433981745,458.80388444949165,1249.4145420490574,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,WA-MPJPE_mm,377.32304322316554,253.49956294060155,508.2600070002903,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,MPJPE_mm,258.0429180997242,203.0234452442137,318.25921176456745,18,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,PA-MPJPE_mm,107.65729324469878,88.6782076003774,129.48941300973888,18,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,MPVPE_mm,324.4780203375117,256.3702998505707,395.8159113275336,18,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,AdapterShared-W-MPJPE_mm,1122.5728954400784,703.6393459276126,1634.2698815300246,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,AdapterShared-WA-MPJPE_mm,386.9900842008274,308.650362567653,478.76055549846,18,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,ATE-Sim3_m,1.9383824030762566,1.7074748684066472,2.16724284442765,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,ATE-SE3_m,2.5561491810182675,2.369988914034314,2.7042935993360078,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,RPE-translation_m,0.03356273886053755,0.02455823260944272,0.04084353517123224,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,RPE-rotation_deg,0.6094562670270848,0.6039861977601313,0.6149632338087053,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,Camera-seam-translation_m,4.624282243618388,3.2804233662000866,5.674000504440092,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,Camera-seam-rotation_deg,89.77549745860068,89.11269359987159,90.42357515021575,5,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,Human-seam_mm,684.6976213585484,684.6976213585484,684.6976213585484,1,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,IDF1,0.06682470096457083,0.03226118594691207,0.11093640131041939,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,IDs,10.619047619047619,4.666666666666667,18.142857142857142,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,Coverage,0.1742857142857143,0.08491666666666665,0.2834920634920635,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
large,independent-unit-macro,Precision,0.07904536606837871,0.033584541801182456,0.13969867512368356,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,W-MPJPE_mm,405.4284482045011,247.54609226077912,551.4142922359104,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,WA-MPJPE_mm,284.1987757383454,177.59412873298191,380.65701151197965,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,MPJPE_mm,215.04020177091678,154.06478624560458,281.99015946272624,14,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,PA-MPJPE_mm,92.52816096834643,74.8192911094765,111.8034893493562,14,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,MPVPE_mm,265.92887152439846,191.20425261316342,345.96194569057565,14,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,AdapterShared-W-MPJPE_mm,1227.2556948860456,902.2750264513562,1599.7507202507325,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,AdapterShared-WA-MPJPE_mm,420.8263186386202,342.41173321672295,502.38876579256083,14,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,ATE-Sim3_m,1.2287186933764709,1.092189549643723,1.3595117725014305,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,ATE-SE3_m,1.5219489533072539,1.412234092757474,1.6122622653884506,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,RPE-translation_m,0.021894842798807945,0.01773689536592928,0.024692729439671282,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,RPE-rotation_deg,0.30760481229899017,0.3037314366890846,0.31146523349005734,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
medium,case-macro,Camera-seam-translation_m,2.9476624666835494,2.3173256125365334,3.368372982530891,7,21,10000,20260903,finite clusters only; no missing-geometry imputation
