method,display_name,boundary_mode,recording_count,case_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,Accel_mm_frame2,RTE_H3R_percent,ATE_Sim3_m,ATE_SE3_m,Boundary_camera_t_m,Boundary_camera_R_deg,Boundary_root_m,Post_root_m,Seam_camera_t_m,Seam_camera_R_deg,IDF1,IDs,Coverage,Seam_root_m,CHRGE_m,Seam_CHRGE_m,Pair_vector_m,ROE_joint_proxy_deg,Jitter_H3R,Foot_sliding_cm,Detection_precision
m0_strict_human3r,Strict Human3R,none,43,129,321.1479860998175,233.38694958961477,71.17290101812875,43.802706075054346,79.28774449593759,34.300157760455946,96.48492545922792,0.12437407452436845,0.21466079883974615,0.8398246137170695,12.301102159030426,0.533362895708145,0.48646068715155,0.7027881654277718,6.2845395849030865,0.8703780309755466,0.5193798449612402,0.980594315245478,0.5237980185924715,0.3000031578711546,0.24396965843159918,0.27939592120253604,12.873565746298185,171.40519480024628,2.61576288284098,0.9986395565900696
m0r_original_clean_reset,Original Human3R reset (oracle cut),oracle_cut,43,129,752.6069711928769,589.4449092128459,70.9353257631438,43.87350957127025,78.99906759043908,40.09219505737483,189.2030161749246,1.1407098598246705,1.6645293904345622,3.4244075071617006,57.01017454176677,1.354844952011635,1.3643072290000673,3.3748280975444596,55.785942206747215,0.8343611356928459,0.6589147286821706,0.980594315245478,1.3316064735776694,0.29119290656626656,0.25721197155704095,0.91296660000463,35.106696994653305,206.20724096332398,2.761684870611309,0.9986395565900696
m1_current_clean_reset,Bridge3R clean reset (oracle cut),oracle_cut,43,129,752.6069711928769,589.4449092128459,70.9353257631438,43.87350957127025,78.99906759043908,40.09219505737483,189.2030161749246,1.1407098598246705,1.6645293904345622,3.4244075071617006,57.01017454176677,1.354844952011635,1.3643072290000673,3.3748280975444596,55.785942206747215,0.8343611356928459,0.6589147286821706,0.980594315245478,1.3316064735776694,0.29119290656626656,0.25721197155704095,0.91296660000463,35.106696994653305,206.20724096332398,2.761684870611309,0.9986395565900696
m3_b0_only,Bridge3R B0 (oracle cut),oracle_cut,43,129,352.81013434168085,267.73090819292287,70.93532560905327,43.87351012608096,78.99906729771399,30.337670347017774,95.68751661414211,0.017347768275808105,0.28332660736563503,0.8065336900209278,8.016117685315555,0.5380214980801432,0.5536393149048857,0.6510746031804129,2.4256492311913678,0.8343611356928459,0.6589147286821706,0.980594315245478,0.5121967385836136,0.291192889881153,0.2572119420632057,0.25229762725324034,11.799770218906277,151.02180193387673,2.30495592132426,0.9986395565900696
m15_v17_gated_parent,Bridge3R runtime parent (oracle cut),oracle_cut,43,129,349.2117394357849,265.1645759043249,70.89198590693155,43.84139934385624,78.96931763792875,29.7140594682653,93.91277885930587,0.01943150919585878,0.3183303608890071,0.8290274892995696,8.141510795327555,0.5333241313911606,0.5463284641812574,0.7225068842447955,3.6608829052915652,0.9831003750496397,0.03875968992248062,0.9789405684754523,0.5094696967691966,0.2960885300205464,0.27870363585505287,0.24395114167309045,11.978009075591217,147.82413816744148,2.269602274824159,0.9969858098200437
v16_0_m15_geometry,Bridge3R geometry parent (causal detector),causal_detector,43,129,349.2117394357849,265.1645759043249,70.89198590693155,43.84139934385624,78.96931763792875,29.7140594682653,93.91277885930587,0.01943150919585878,0.3183303608890071,0.8290274892995696,8.141510795327555,0.5333241313911606,0.5463284641812574,0.7225068842447955,3.6608829052915652,0.9831003750496397,0.03875968992248062,0.9789405684754523,0.5094696967691966,0.2960885300205464,0.27870363585505287,0.24395114167309045,11.978009075591217,147.82413816744148,2.269602274824159,0.9969858098200437
v19_ungated_translation_b050,"Bridge3R (causal, frozen)",causal_detector,43,129,258.83269644768603,201.6903095894276,70.935326487181,43.873510100589115,78.99906810559138,28.00040132651413,58.374752859099665,0.016451692923067602,0.20651896697599786,0.6794591752686463,8.016117679420063,0.3462189638498651,0.36395049462221435,0.5012695757981539,2.425632023121176,0.9847541218196655,0.03875968992248062,0.980594315245478,0.30864776602195343,0.29119288625449685,0.2572119283862347,0.25229761940492584,11.799770280828502,137.88339502014617,2.1769039811691955,0.9986395565900696
