angle_stratum,scope,metric,estimate,ci95_low,ci95_high,available_clusters,total_clusters,bootstrap_samples,seed,availability_policy
extreme,case-macro,WA-MPJPE_mm,378.01195928999056,301.7199398831423,459.02313885763783,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,MPJPE_mm,183.70735890387866,153.16260997804628,216.95843315743213,16,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,PA-MPJPE_mm,97.36076507176483,75.30867016934492,123.94830392978713,16,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,MPVPE_mm,227.41544116566982,185.11489035639667,273.9789769055165,16,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,AdapterShared-W-MPJPE_mm,2179.4543527003148,1572.8623412264994,2816.6704364991597,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,AdapterShared-WA-MPJPE_mm,642.7262237536545,482.35012829292566,805.3612451600512,16,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,ATE-Sim3_m,3.623725557252624,2.450562576067375,4.914158478689328,21,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,ATE-SE3_m,5.72442167611073,4.238530286408889,7.327342856313636,21,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,RPE-translation_m,0.12174928189415336,0.09104778921041264,0.15227359529073334,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,RPE-rotation_deg,2.1749023028338503,1.879376983645222,2.4973023364274067,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Camera-seam-translation_m,10.234117511409107,7.453185830854338,13.404931739495666,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Camera-seam-rotation_deg,166.23330739502333,157.01789982947366,174.68248531818148,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Human-seam_mm,1890.2436651127532,1811.7686048902103,1968.7187253352959,2,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,IDF1,0.1291918832604921,0.07082587092017022,0.19869342703235968,22,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,IDs,8.772727272727273,3.6818181818181817,14.954545454545455,22,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Coverage,0.19968939514034292,0.10505625120094896,0.3123947843987809,22,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,case-macro,Precision,0.17216094850907213,0.08711662221240929,0.27135981877895343,22,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,W-MPJPE_mm,1452.6249919771972,979.2069220928656,1992.6945409769214,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,WA-MPJPE_mm,378.01195928999056,299.56913153333744,460.55793717708224,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,MPJPE_mm,183.70735890387866,152.69605120991744,215.99302384092783,16,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,PA-MPJPE_mm,97.36076507176483,74.94438548368989,123.81191726827785,16,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,MPVPE_mm,227.41544116566985,184.6779945514734,272.3699987801969,16,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,AdapterShared-W-MPJPE_mm,2179.454352700315,1563.8676719404502,2816.989799075221,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,AdapterShared-WA-MPJPE_mm,642.7262237536545,475.32102713275464,800.4034026686245,16,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,ATE-Sim3_m,3.623725557252623,2.4551105495720544,4.8555324904870085,21,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,ATE-SE3_m,5.72442167611073,4.199619600168897,7.2630644065934415,21,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,RPE-translation_m,0.12174928189415336,0.09151634005886672,0.15242652025893563,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,RPE-rotation_deg,2.1749023028338508,1.8847883297278698,2.5065577654894535,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,Camera-seam-translation_m,10.234117511409107,7.464322671680903,13.411775733480326,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
extreme,independent-unit-macro,Camera-seam-rotation_deg,166.2333073950233,156.67542204786906,174.73883257302307,12,22,10000,20260903,finite clusters only; no missing-geometry imputation
