angle_stratum,scope,case_count,unit_count,successful_inference_cases,failed_inference_cases,valid_output_cases,invalid_output_cases,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available_cases,WA_available_cases,camera_reportable_cases
small,case-macro,24,,24,0,24,0,1078.3418195529894,442.7515101192049,187.27218959243606,88.9529356697195,228.24140974280803,1731.5175475273818,702.9873258989188,1.153734212301094,1.6278843956846185,0.05109933032116548,0.4210906134720426,4.0123721202689575,35.12512356286339,984.7045246054205,0.14582554407201867,8.708333333333334,0.1965383890520439,0.1768785137193654,16,16,24
small,independent-unit-macro,24,24,,,,,1078.3418195529894,442.7515101192049,187.27218959243606,88.9529356697195,228.24140974280803,1731.5175475273818,702.9873258989188,1.153734212301094,1.6278843956846185,0.05109933032116548,0.4210906134720426,4.0123721202689575,35.12512356286339,984.7045246054205,0.14582554407201867,8.708333333333334,0.1965383890520439,0.1768785137193654,,,
medium,case-macro,22,,22,0,22,0,1693.9214203518945,412.8405914439544,185.81876458950515,90.3462386095438,224.73435418130128,2202.138024016799,758.806773800559,2.3723048485514835,3.840232696018684,0.07898553539518258,1.083739595617585,5.379381394589531,78.49778492478576,2396.9218502667327,0.14539347918652604,10.181818181818182,0.2286857188960137,0.201843934079334,11,11,22
medium,independent-unit-macro,22,22,,,,,1693.9214203518945,412.8405914439544,185.81876458950515,90.3462386095438,224.73435418130128,2202.138024016799,758.806773800559,2.3723048485514835,3.840232696018684,0.07898553539518258,1.083739595617585,5.379381394589531,78.49778492478576,2396.9218502667327,0.14539347918652604,10.181818181818182,0.2286857188960137,0.201843934079334,,,
large,case-macro,22,,21,1,20,1,1115.0978216715914,374.03549387100384,184.47567951263127,87.40815426887872,218.65125714272997,1750.3344898591954,855.3059431251835,2.6825491666115955,4.64183261794714,0.08185021574936949,1.749183226768465,6.082981022774179,131.87714986808712,1696.640451381396,0.14539794125617655,6.5,0.22025465486452517,0.1860030385124076,11,11,20
large,independent-unit-macro,22,22,,,,,1115.0978216715914,374.03549387100384,184.47567951263127,87.40815426887872,218.65125714272997,1750.3344898591954,855.3059431251835,2.6825491666115955,4.64183261794714,0.08185021574936949,1.749183226768465,6.082981022774179,131.87714986808712,1696.640451381396,0.14539794125617655,6.5,0.22025465486452517,0.1860030385124076,,,
extreme,case-macro,22,,21,1,21,0,1452.6249919771972,378.0119592899906,183.70735890387866,97.36076507176483,227.41544116566985,2179.454352700315,642.7262237536545,3.6237255572526244,5.72442167611073,0.12174928189415336,2.1749023028338508,10.234117511409105,166.23330739502333,1890.2436651127532,0.12919188326049214,8.772727272727273,0.1996893951403429,0.17216094850907213,12,12,21
extreme,independent-unit-macro,22,22,,,,,1452.6249919771972,378.0119592899906,183.70735890387866,97.36076507176483,227.41544116566985,2179.454352700315,642.7262237536545,3.6237255572526244,5.72442167611073,0.12174928189415336,2.1749023028338508,10.234117511409105,166.23330739502333,1890.2436651127532,0.12919188326049214,8.772727272727273,0.1996893951403429,0.17216094850907213,,,
