ATE_SE3_m,ATE_SE3_m_case_support,ATE_SE3_m_unit_support,ATE_Sim3_m,ATE_Sim3_m_case_support,ATE_Sim3_m_unit_support,Coverage,Coverage_case_support,Coverage_unit_support,IDF1,IDF1_case_support,IDF1_unit_support,MPJPE_mm,MPJPE_mm_case_support,MPJPE_mm_unit_support,PA-MPJPE_mm,PA-MPJPE_mm_case_support,PA-MPJPE_mm_unit_support,Precision,Precision_case_support,Precision_unit_support,W-MPJPE_mm,W-MPJPE_mm_case_support,W-MPJPE_mm_unit_support,WA-MPJPE_mm,WA-MPJPE_mm_case_support,WA-MPJPE_mm_unit_support,aggregation,angle_stratum,camera_primary,dataset,method,seconds,seconds_case_support,seconds_unit_support,total_cases
1.6733605051164542,90,27,0.546957150325434,90,27,0.6387837734883043,90,27,0.4714308072497831,90,27,107.61003655680729,90,27,68.16537421315934,90,27,0.6884772524508814,90,27,1005.091333352516,90,27,365.70898212095653,90,27,case_macro,all,ATE_SE3_m,egohumans,Human3R,,0,0,90
3.8690097973116093,87,27,2.4095350321597233,87,27,0.21096418058964947,90,27,0.14154939710220812,90,27,185.440422059345,66,20,91.02239749999173,66,20,0.18405842881647413,90,27,1311.683613576651,50,19,405.5160922370341,50,19,case_macro,all,ATE_SE3_m,egohumans,OnlineHMR,,0,0,90
1.4232084536966951,90,27,0.03228654279154745,90,27,0.6156842271723441,90,27,0.5709551216112589,90,27,108.54660707231182,90,27,68.69310534678425,90,27,0.6602357287941418,90,27,866.8277871450725,90,27,336.85761221821673,90,27,case_macro,all,ATE_SE3_m,egohumans,Shot3R,,0,0,90
1.755245163631775,87,27,0.4275956168636038,87,27,0.6861566579321552,90,27,0.6155406639036538,90,27,92.16699227516115,80,25,52.0348789015007,80,25,0.6155104273316736,90,27,1410.7189550859896,77,24,481.27963185021207,77,24,case_macro,all,ATE_SE3_m,egohumans,JOSH,476.65723039432305,87,27,90
0.5438812306729127,24,24,0.10541142307591524,24,24,0.6581984268783933,24,24,0.5585245570286228,24,24,110.00936965406505,24,24,70.58671025172531,24,24,0.6995573397688946,24,24,767.7408045559695,24,24,331.46955019144866,24,24,case_macro,small,ATE_SE3_m,egohumans,Human3R,,0,0,24
1.6278843956846185,24,24,1.153734212301094,24,24,0.1965383890520439,24,24,0.14582554407201867,24,24,187.27218959243606,19,19,88.9529356697195,19,19,0.1768785137193654,24,24,1078.3418195529894,16,16,442.7515101192049,16,16,case_macro,small,ATE_SE3_m,egohumans,OnlineHMR,,0,0,24
0.6103374220295246,24,24,0.029859162410750394,24,24,0.656576311932944,24,24,0.5929725462996066,24,24,107.13445080411029,24,24,68.91793491425933,24,24,0.6956663934347808,24,24,850.8621078845194,24,24,357.13502225778194,24,24,case_macro,small,ATE_SE3_m,egohumans,Shot3R,,0,0,24
0.4869145187163183,24,24,0.2878398760151503,24,24,0.6396485409787022,24,24,0.550230921896258,24,24,91.21596029979392,21,21,53.8770040787134,21,21,0.5298188275531237,24,24,791.7113376751771,21,21,351.86704079638173,21,21,case_macro,small,ATE_SE3_m,egohumans,JOSH,521.5959719826036,24,24,24
1.1450347239493164,22,22,0.19358754134959164,22,22,0.6368823162055143,22,22,0.41361652202731564,22,22,104.74646986735327,22,22,66.20068876736258,22,22,0.6848798477274709,22,22,824.6593685729706,22,22,345.87759774082474,22,22,case_macro,medium,ATE_SE3_m,egohumans,Human3R,,0,0,22
3.840232696018684,22,22,2.3723048485514835,22,22,0.2286857188960137,22,22,0.14539347918652604,22,22,185.81876458950515,17,17,90.3462386095438,17,17,0.201843934079334,22,22,1693.9214203518945,11,11,412.8405914439544,11,11,case_macro,medium,ATE_SE3_m,egohumans,OnlineHMR,,0,0,22
1.3010410166112938,22,22,0.028342409561229496,22,22,0.604807758309842,22,22,0.5723598651681119,22,22,104.81140078650262,22,22,66.8523478792905,22,22,0.6497860886252228,22,22,801.1848582951512,22,22,341.50105218535964,22,22,case_macro,medium,ATE_SE3_m,egohumans,Shot3R,,0,0,22
1.7094338980950992,22,22,0.5259631008609887,22,22,0.7013032397709817,22,22,0.625353402243334,22,22,89.05622749045139,20,20,52.80862633371088,20,20,0.6193443346602153,22,22,1818.2763702446289,19,19,511.0680452738239,19,19,case_macro,medium,ATE_SE3_m,egohumans,JOSH,498.3269618984963,22,22,22
1.7169650902347293,22,22,0.853700625159918,22,22,0.6469578341809138,22,22,0.5014201969672483,22,22,103.61467087690025,22,22,64.43501691857263,22,22,0.7216078087771663,22,22,1221.1347641749633,22,22,388.60112513053986,22,22,case_macro,large,ATE_SE3_m,egohumans,Human3R,,0,0,22
4.64183261794714,20,20,2.6825491666115955,20,20,0.22025465486452517,22,22,0.14539794125617655,22,22,184.47567951263127,14,14,87.40815426887872,14,14,0.1860030385124076,22,22,1115.0978216715914,11,11,374.03549387100384,11,11,case_macro,large,ATE_SE3_m,egohumans,OnlineHMR,,0,0,22
1.528974790371722,22,22,0.03216728783247396,22,22,0.6217617149499665,22,22,0.5579542676094009,22,22,103.33649975301384,22,22,63.43151784772244,22,22,0.6904060308009485,22,22,930.6648081237961,22,22,331.0840667711874,22,22,case_macro,large,ATE_SE3_m,egohumans,Shot3R,,0,0,22
2.529605497580862,22,22,0.39996269664208417,22,22,0.6728898398244755,22,22,0.6253204156924917,22,22,96.3482024313412,20,20,51.231997857414314,20,20,0.6555127642811674,22,22,1695.115857027857,19,19,519.0019552990348,19,19,case_macro,large,ATE_SE3_m,egohumans,JOSH,430.6170184473978,22,22,22
3.39024090964918,22,22,1.0752695323753587,22,22,0.6113315481983879,22,22,0.40424433935968757,22,22,111.85151463825079,22,22,71.21895945692538,22,22,0.6468567328647198,22,22,1228.4077169058469,22,22,400.0003310509681,22,22,case_macro,extreme,ATE_SE3_m,egohumans,Human3R,,0,0,22
5.72442167611073,21,21,3.6237255572526244,21,21,0.1996893951403429,22,22,0.12919188326049214,22,22,183.70735890387866,16,16,97.36076507176483,16,16,0.17216094850907213,22,22,1452.6249919771972,12,12,378.0119592899906,12,12,case_macro,extreme,ATE_SE3_m,egohumans,OnlineHMR,,0,0,22
2.3263779522894374,22,22,0.03899798230544477,22,22,0.5758736612456602,22,22,0.5585322233053394,22,22,119.03245478818431,22,22,75.55018169427608,22,22,0.60186343280283,22,22,886.0507996641462,22,22,315.8669067458502,22,22,case_macro,extreme,ATE_SE3_m,egohumans,Shot3R,,0,0,22
2.5137638990474547,19,19,0.5222260051422275,19,19,0.7350130217865933,22,22,0.6671951650559309,22,22,92.09134827796676,19,19,50.02951277076688,19,19,0.6651559282666017,22,22,1402.4982851258471,18,18,560.9996547143334,18,18,case_macro,extreme,ATE_SE3_m,egohumans,JOSH,448.1109552165236,19,19,22
