ATE_SE3_m,ATE_Sim3_m,Coverage,IDF1,MPJPE_mm,PA-MPJPE_mm,Precision,W-MPJPE_mm,WA-MPJPE_mm,angle_stratum,case_id,dataset,inference_status,method,seconds,time_access,unit
1.4509991224808532,0.10719014825991383,1.0,1.0,82.9351156580135,44.60334672455293,1.0,716.7472114495337,745.5882440048069,extreme,egobody_recording_20210907_S03_S04_01_extreme_kinect_13_kinect_11_b01801,egobody,audited,JOSH,395.91038799396483,offline_full_sequence,recording_20210907_S03_S04_01
0.9751498262558225,0.08544386978362005,1.0,1.0,84.03749815263687,47.175653356362105,1.0,482.46217025592193,415.38184060820583,medium,egobody_recording_20210907_S03_S04_01_medium_kinect_12_kinect_13_b01801,egobody,audited,JOSH,398.6643851819681,offline_full_sequence,recording_20210907_S03_S04_01
0.07268976385784144,0.04249931526694217,1.0,1.0,74.33392482306192,46.44917979240081,1.0,172.34575394063532,139.71665636531412,medium,egobody_recording_20210911_S03_S08_02_medium_kinect_12_kinect_11_b03471,egobody,audited,JOSH,410.18561369896634,offline_full_sequence,recording_20210911_S03_S08_02
0.10855413587847051,0.10848925835635906,0.9966666666666667,0.9966666666666667,68.0428191482166,45.24970721919258,0.9966666666666667,155.94394203953757,128.62218560036965,extreme,egobody_recording_20210911_S03_S08_02_extreme_kinect_11_kinect_13_b03471,egobody,audited,JOSH,411.34122509497683,offline_full_sequence,recording_20210911_S03_S08_02
0.1297742430385792,0.04887174611425619,1.0,0.9523809523809523,91.39887167607384,43.81168872209208,0.9090909090909091,243.63175524700267,187.04631801221427,small,egobody_recording_20210907_S03_S04_01_small_kinect_11_kinect_12_b01801,egobody,audited,JOSH,412.0704284218955,offline_full_sequence,recording_20210907_S03_S04_01
0.1105870185550517,0.1084723779916285,0.9966666666666667,0.9966666666666667,54.48304726443385,36.76909917111913,0.9966666666666667,224.43639935540784,157.86428681394688,extreme,egobody_recording_20210911_S03_S08_01_extreme_kinect_13_kinect_11_b02141,egobody,audited,JOSH,426.9130209510331,offline_full_sequence,recording_20210911_S03_S08_01
0.04245461978080094,0.04246963398178018,1.0,1.0,61.526092004383635,40.671109432379694,1.0,96.99521452237427,83.6286290593496,medium,egobody_recording_20210911_S03_S08_01_medium_kinect_11_kinect_12_b02141,egobody,audited,JOSH,438.26456015603617,offline_full_sequence,recording_20210911_S03_S08_01
0.0728132141386255,0.06607770521402304,1.0,1.0,60.16419432509175,38.89615426235203,1.0,170.98837989493725,127.61547196136743,small,egobody_recording_20210911_S03_S08_01_small_kinect_13_kinect_12_b02141,egobody,audited,JOSH,443.89656559895957,offline_full_sequence,recording_20210911_S03_S08_01
0.06605967659202322,0.0660646285953723,1.0,1.0,66.29333888678035,38.7609876457424,1.0,132.6167124237907,110.53933664198092,small,egobody_recording_20210911_S03_S08_02_small_kinect_13_kinect_12_b03471,egobody,audited,JOSH,405.79043687001104,offline_full_sequence,recording_20210911_S03_S08_02
0.2300723604792565,0.06812153320145481,1.0,1.0,64.61037767351951,37.72024075553697,1.0,146.94332023554318,114.69558406153776,extreme,egobody_recording_20210921_S05_S12_01_extreme_kinect_11_kinect_13_b02281,egobody,audited,JOSH,425.46937669604085,offline_full_sequence,recording_20210921_S05_S12_01
0.33507732115824385,0.06820700991425327,1.0,1.0,66.11381901495493,35.72922917002877,1.0,115.16595133944061,105.08316047797746,extreme,egobody_recording_20210921_S05_S12_02_extreme_kinect_13_kinect_11_b01916,egobody,audited,JOSH,415.3966791720013,offline_full_sequence,recording_20210921_S05_S12_02
0.28469229391926953,0.0681996750228642,1.0,1.0,83.90894885190944,42.576048557991015,1.0,258.5861955247327,124.74341704204912,extreme,egobody_recording_20210921_S05_S12_03_extreme_kinect_11_kinect_13_b03356,egobody,audited,JOSH,388.42903327802196,offline_full_sequence,recording_20210921_S05_S12_03
0.11052202413830624,0.03875199877899105,1.0,1.0,64.85666626769245,35.22157365284385,1.0,155.69192772399757,80.82084870624632,medium,egobody_recording_20210921_S05_S12_02_medium_kinect_12_kinect_11_b01916,egobody,audited,JOSH,428.1300397439627,offline_full_sequence,recording_20210921_S05_S12_02
0.1158481607514336,0.038742195885626135,1.0,0.967741935483871,55.672484950015885,32.19815596221354,0.9375,74.47469480962269,58.24954419189214,medium,egobody_recording_20210921_S05_S12_01_medium_kinect_12_kinect_11_b02281,egobody,audited,JOSH,453.52368204301456,offline_full_sequence,recording_20210921_S05_S12_01
0.031114484250879523,0.031119655217416563,1.0,0.9523809523809523,61.785243509153176,32.99469160140852,0.9090909090909091,94.13008086648627,83.66504465152526,small,egobody_recording_20210921_S05_S12_02_small_kinect_13_kinect_12_b01916,egobody,audited,JOSH,424.8901060190401,offline_full_sequence,recording_20210921_S05_S12_02
0.031149239199615125,0.031115853910642546,1.0,0.8253094910591472,59.085274827714386,35.022451823458525,0.702576112412178,107.41577169511062,83.26897643993296,small,egobody_recording_20210921_S05_S12_01_small_kinect_13_kinect_12_b02281,egobody,audited,JOSH,490.0328549389378,offline_full_sequence,recording_20210921_S05_S12_01
