case_id,cluster,angle_stratum,internal_method,internal_method_key,metric,online,internal,internal_advantage
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,PA-MPJPE_mm,56.87367300102929,54.26603579756848,2.6076372034608113
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,724.7693364237697,1817.374380855352,-1092.6050444315824
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Anchor-root_mm,672.3615472326201,1777.1550208275285,-1104.7934735949084
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Orientation_deg,54.359003283342275,36.67192609910359,17.68707718423869
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Seam-root_mm,223.63225719153758,1585.6929793558993,-1362.0607221643618
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Seam-orientation_deg,57.79306959322514,93.07818229331244,-35.285112700087296
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Camera-rotation_deg,72.4674885779081,48.282314494093164,24.185174083814935
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Camera-translation_m,5.292484253735902,5.07378545033688,0.2186988033990218
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-rotation_deg,112.75745401915562,94.09487970646948,18.662574312686132
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-translation_m,7.792120304798,7.755069938001235,0.03705036679676521
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,Human3R,m0_strict_human3r,Coverage,0.98,1.0,0.020000000000000018
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,PA-MPJPE_mm,56.87367300102929,54.12707064756302,2.7466023534662654
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-MPJPE_mm,724.7693364237697,1165.7007030263585,-440.9313666025888
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-root_mm,672.3615472326201,1126.8827043395574,-454.5211571069374
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Orientation_deg,54.359003283342275,44.01780541552808,10.341197867814195
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-root_mm,223.63225719153758,1175.46320325692,-951.8309460653825
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-orientation_deg,57.79306959322514,106.7877615074414,-48.99469191421626
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-rotation_deg,72.4674885779081,63.01715820748414,9.450330370423963
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-translation_m,5.292484253735902,4.513766930796157,0.7787173229397446
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-rotation_deg,112.75745401915562,108.07324799087105,4.684206028284564
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-translation_m,7.792120304798,7.586288238170091,0.20583206662790854
aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Coverage,0.98,1.0,0.020000000000000018
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,PA-MPJPE_mm,55.05286914699077,52.840827653999625,2.2120414929911476
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,515.5966046398399,834.8565550533127,-319.2599504134728
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Anchor-root_mm,430.34199009295395,790.0936090375562,-359.7516189446023
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Orientation_deg,108.1406088294985,64.97765640890526,43.16295242059324
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Seam-root_mm,459.0408757292106,1088.9168885424886,-629.876012813278
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Seam-orientation_deg,32.68509528515426,53.80495100158775,-21.11985571643349
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Camera-rotation_deg,157.7284321378205,98.06845033785935,59.65998179996116
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Camera-translation_m,10.443982040788057,7.355419619006849,3.0885624217812087
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-rotation_deg,89.79633415290711,50.542677803569326,39.25365634933778
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-translation_m,6.2051318449691895,4.394388632955409,1.8107432120137803
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,Human3R,m0_strict_human3r,Coverage,0.9933333333333333,1.0,0.00666666666666671
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,PA-MPJPE_mm,55.05286914699077,52.59230270732398,2.460566439666792
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-MPJPE_mm,515.5966046398399,513.441600113603,2.155004526236894
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-root_mm,430.34199009295395,450.20788616776554,-19.865896074811587
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Orientation_deg,108.1406088294985,63.26449893711437,44.876109892384136
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-root_mm,459.0408757292106,466.3338673953067,-7.2929916660961
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-orientation_deg,32.68509528515426,54.18101113400468,-21.495915848850416
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-rotation_deg,157.7284321378205,95.7053151998227,62.0231169379978
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-translation_m,10.443982040788057,7.005353656860599,3.4386283839274583
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-rotation_deg,89.79633415290711,50.65533291499668,39.14100123791043
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-translation_m,6.2051318449691895,4.15190974662254,2.05322209834665
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Coverage,0.9933333333333333,1.0,0.00666666666666671
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,PA-MPJPE_mm,58.114364016366835,59.73885353486298,-1.6244895184961479
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,805.9974123395947,343.21057392863617,462.7868384109585
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Anchor-root_mm,794.1888213727561,292.7101189633832,501.47870240937294
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Orientation_deg,56.11904405603232,57.05512889749207,-0.9360848414597456
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Seam-root_mm,353.83182989405833,104.76172911726422,249.0701007767941
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Seam-orientation_deg,27.201867246111004,47.69588885454637,-20.494021608435364
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Camera-rotation_deg,86.36715574174754,85.86501024517013,0.5021454965774126
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Camera-translation_m,5.884942616942675,6.494527723531936,-0.609585106589261
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-rotation_deg,62.58188715504119,45.38431360864998,17.197573546391205
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-translation_m,4.950652621821019,3.690028899129438,1.2606237226915815
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,Human3R,m0_strict_human3r,Coverage,0.9933333333333333,1.0,0.00666666666666671
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,PA-MPJPE_mm,58.114364016366835,59.62849156702502,-1.5141275506581877
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-MPJPE_mm,805.9974123395947,349.9440938921161,456.0533184474786
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-root_mm,794.1888213727561,295.76125687921314,498.427564493543
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Orientation_deg,56.11904405603232,54.87537462454755,1.2436694314847756
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-root_mm,353.83182989405833,312.17960667997767,41.652223214080664
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-orientation_deg,27.201867246111004,47.42490128740716,-20.223034041296156
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-rotation_deg,86.36715574174754,83.05429137998486,3.312864361762678
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-translation_m,5.884942616942675,6.158200200506961,-0.27325758356428587
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-rotation_deg,62.58188715504119,44.759254085450124,17.822633069591063
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-translation_m,4.950652621821019,3.3921320370473476,1.5585205847736718
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Coverage,0.9933333333333333,1.0,0.00666666666666671
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,PA-MPJPE_mm,50.56834793203404,49.646004787220086,0.9223431448139507
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,1415.6588379655987,292.47745978469356,1123.181378180905
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Anchor-root_mm,1388.885913583053,248.43982498045463,1140.4460886025984
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Orientation_deg,54.69388686861054,38.24720409898307,16.446682769627472
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Seam-root_mm,329.5449008302143,1310.2257504158852,-980.6808495856708
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Seam-orientation_deg,44.97103473664225,48.078858262556,-3.1078235259137443
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Camera-rotation_deg,72.64189277235101,48.96130937669788,23.68058339565313
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Camera-translation_m,6.0573861831875115,4.044727962828344,2.0126582203591674
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-rotation_deg,85.18046261550954,47.97490374277284,37.2055588727367
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-translation_m,6.05257486689003,4.824595279072715,1.2279795878173152
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,Human3R,m0_strict_human3r,Coverage,0.98,1.0,0.020000000000000018
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,PA-MPJPE_mm,50.56834793203404,49.43128750969792,1.1370604223361198
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-MPJPE_mm,1415.6588379655987,681.5653082171613,734.0935297484374
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-root_mm,1388.885913583053,647.9730280909217,740.9128854921313
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Orientation_deg,54.69388686861054,37.570248684889556,17.123638183720985
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-root_mm,329.5449008302143,600.8380942088279,-271.2931933786136
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-orientation_deg,44.97103473664225,50.28063528993528,-5.309600553293031
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-rotation_deg,72.64189277235101,49.16530218846748,23.476590583883535
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-translation_m,6.0573861831875115,3.905058861713948,2.1523273214735634
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-rotation_deg,85.18046261550954,49.98065302231781,35.19980959319173
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-translation_m,6.05257486689003,4.3295203537363145,1.7230545131537154
aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,,BRIDGE3R,m15_bridge3r_fixed_v19,Coverage,0.98,1.0,0.020000000000000018
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,PA-MPJPE_mm,63.5623783936806,62.99934707622015,0.5630313174604566
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,792.5063695887404,388.95061991027643,403.555749678464
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,Anchor-root_mm,708.4042778561848,313.10541621546747,395.2988616407173
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,Orientation_deg,41.224435995714664,36.77995198310389,4.444484012610772
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,Seam-root_mm,300.4463881544393,262.7178311838068,37.728556970632496
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,Seam-orientation_deg,56.90931534675191,82.97668349363147,-26.06736814687956
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,Camera-rotation_deg,53.65015334943263,46.245403954417206,7.404749395015422
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,Camera-translation_m,5.160619102158637,3.575497346247052,1.5851217559115849
aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,,Human3R,m0_strict_human3r,Boundary-camera-rotation_deg,112.59899435585612,91.04888858632756,21.550105769528557
