boundary_order,camera_relative_rotation_deg,camera_relative_translation_m,case_id,seam_orientation_excess_deg,seam_root_excess_mm,transition_angle_deg
1,135.044345248429,8.739972027096693,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,60.62542359979819,287.9975047466407,134.945766399
2,90.49068212764986,6.866131569312838,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,47.26485665647583,466.33568571594446,90.473703724
3,35.73279569942319,2.987225657004989,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-4,10.114381330857086,477.0502173737128,44.703892893
1,135.0684946401283,8.7189266524972,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,58.37707008099458,607.9218833746232,134.945766399
2,44.54712973255084,3.645898951854865,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,23.3737437579901,682.0062923297781,44.511050548
3,90.30810506388313,6.705157302330805,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,60.851372687396236,146.3948683118311,90.254734253
1,90.24098852494978,6.7323578298947035,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,52.144688187492996,211.26864905315267,90.254734253
2,35.400301283532286,3.2219986054359913,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,12.04776128946675,506.9929123176302,44.511050548
3,135.02808456995396,8.70556608018832,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,50.16833454507082,617.9963621432893,134.945766399
1,35.54340090403035,3.1299439307944894,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-4,14.917305228211152,367.50171923341946,44.524424831
2,135.01460265523949,9.000144885858859,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-4,74.69630102012268,253.2668454667125,134.92648831
3,90.30810744585037,6.705157302330805,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-4,41.91712970208401,114.11972796662646,90.254734253
1,90.06373510846824,6.70908644431043,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-4,43.67166692795346,58.89851129816368,90.254734253
2,135.02415125230758,8.99726847154935,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-4,55.19246669506673,490.52890145367166,134.92648831
3,36.112287430503464,3.067376403348641,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-4,14.810092571197016,511.3834848582066,44.524424831
1,135.04254528940683,8.743838079458524,aist__gBR_sBM_cAll_d06_mBR4_ch02__mc150-4,78.31133416056204,445.6372458859687,134.945766399
2,44.54712465954889,3.645898951854865,aist__gBR_sBM_cAll_d06_mBR4_ch02__mc150-4,13.701260447099985,726.3542726546603,44.511050548
3,90.30810506388313,6.705157302330805,aist__gBR_sBM_cAll_d06_mBR4_ch02__mc150-4,38.24756928221457,558.5130514589515,90.254734253
1,135.04143969785915,8.712354043875763,aist__gBR_sBM_cAll_d06_mBR5_ch01__mc150-4,72.41879044287874,978.3647459067719,134.945766399
2,44.54712434624142,3.645898951854865,aist__gBR_sBM_cAll_d06_mBR5_ch01__mc150-4,18.928369463944538,708.548041533495,44.511050548
3,90.30810506388313,6.705157302330805,aist__gBR_sBM_cAll_d06_mBR5_ch01__mc150-4,31.37717025111466,536.4983719909878,90.254734253
1,135.00764854974204,8.708553681148343,aist__gBR_sBM_cAll_d06_mBR5_ch02__mc150-4,58.535753192356125,462.089316553831,134.945766399
2,90.49068978391529,6.866131569312838,aist__gBR_sBM_cAll_d06_mBR5_ch02__mc150-4,51.62361372859709,484.6842359148483,90.473703724
3,44.66452014903974,3.5739193032644763,aist__gBR_sBM_cAll_d06_mBR5_ch02__mc150-4,16.371373658460215,464.2496609985209,44.703892893
1,72.78020829887781,6.125595946114213,aist__gHO_sBM_cAll_d21_mHO3_ch01__mc150-4,36.31623529064043,833.2715713486621,89.986797732
2,134.50704991934566,9.025077950784215,aist__gHO_sBM_cAll_d21_mHO3_ch01__mc150-4,53.18218066079363,382.5413790492114,134.502688461
3,37.307307304871294,3.192618093899907,aist__gHO_sBM_cAll_d21_mHO3_ch01__mc150-4,10.146624443584363,652.2767972724841,45.413062702
1,35.569371317670225,3.3288136417803886,aist__gHO_sBM_cAll_d21_mHO3_ch02__mc150-4,10.085280392996237,484.67591760023413,44.970501317
2,89.79573679279275,7.081881003839103,aist__gHO_sBM_cAll_d21_mHO3_ch02__mc150-4,,,89.731808913
3,134.86660825016153,8.930169172806751,aist__gHO_sBM_cAll_d21_mHO3_ch02__mc150-4,74.03181346886866,645.036112695022,134.831728986
1,134.85471559205982,8.922657459034474,aist__gHO_sBM_cAll_d21_mHO4_ch01__mc150-4,38.56067419328225,199.8495926955011,134.831728986
2,89.73456547249795,7.059897189487837,aist__gHO_sBM_cAll_d21_mHO4_ch01__mc150-4,39.5719988875991,228.9244643585268,89.731808913
3,36.266032198322605,2.967241454970314,aist__gHO_sBM_cAll_d21_mHO4_ch01__mc150-4,22.402811388535955,94.31535158120077,44.970501317
1,134.8737248146879,8.955765499213737,aist__gHO_sBM_cAll_d21_mHO4_ch02__mc150-4,63.52416537365425,377.65166889235053,134.831728986
2,45.41590692941351,3.713132067245312,aist__gHO_sBM_cAll_d21_mHO4_ch02__mc150-4,24.063227285069875,691.3471099835114,45.413062702
3,89.6507267519362,6.913983009600148,aist__gHO_sBM_cAll_d21_mHO4_ch02__mc150-4,33.96803092341145,302.2235461989755,89.908066027
1,134.89172935864997,8.976138765942693,aist__gHO_sBM_cAll_d21_mHO5_ch01__mc150-4,,,134.831728986
2,45.41590310263418,3.713132067245312,aist__gHO_sBM_cAll_d21_mHO5_ch01__mc150-4,24.61522704717347,650.5831075497093,45.413062702
3,89.83116504200363,6.9071447981161,aist__gHO_sBM_cAll_d21_mHO5_ch01__mc150-4,,,89.908066027
1,134.9138252447315,8.995081872468253,aist__gHO_sBM_cAll_d21_mHO5_ch02__mc150-4,57.79994468368801,835.2891519326482,134.831728986
2,89.7345530328943,7.059897189487837,aist__gHO_sBM_cAll_d21_mHO5_ch02__mc150-4,32.76581929868598,684.5046031216568,89.731808913
3,36.271935050086675,2.8789307608588373,aist__gHO_sBM_cAll_d21_mHO5_ch02__mc150-4,12.550584076128123,144.63310911284688,44.970501317
1,89.73342256236914,6.892293816687657,aist__gHO_sBM_cAll_d21_mHO5_ch03__mc150-4,36.70681969097226,557.0852988592388,89.908066027
2,36.15231659292253,3.108067215814282,aist__gHO_sBM_cAll_d21_mHO5_ch03__mc150-4,17.692559273173675,346.95026696211585,45.413062702
3,134.87005267433548,8.937406735640856,aist__gHO_sBM_cAll_d21_mHO5_ch03__mc150-4,92.36742661375447,295.62058041075153,134.831728986
1,89.65576080318431,6.975776113992985,aist__gHO_sBM_cAll_d21_mHO5_ch04__mc150-4,32.97944863780549,560.0616050868166,89.908066027
2,36.11709524860304,3.1004059228963143,aist__gHO_sBM_cAll_d21_mHO5_ch04__mc150-4,16.54580130237011,582.5611275335713,45.413062702
3,134.84342405201735,8.540058651255148,aist__gHO_sBM_cAll_d21_mHO5_ch04__mc150-4,,,134.831728986
1,134.8677464269955,8.914372742695509,aist__gHO_sBM_cAll_d21_mHO5_ch05__mc150-4,,,134.831728986
2,45.41590800201992,3.713132067245312,aist__gHO_sBM_cAll_d21_mHO5_ch05__mc150-4,14.472070554525352,941.4266134392274,45.413062702
3,89.95981266607791,6.888813145626773,aist__gHO_sBM_cAll_d21_mHO5_ch05__mc150-4,38.44593443093232,845.3976793029482,89.908066027
1,35.230715589957,3.181221143919092,aist__gHO_sBM_cAll_d21_mHO5_ch06__mc150-4,6.332176619905241,520.9131082477655,44.970501317
2,89.61923070521524,7.085960303597142,aist__gHO_sBM_cAll_d21_mHO5_ch06__mc150-4,34.72934048497524,221.3683252175939,89.731808913
3,134.8924502885308,8.943371814833265,aist__gHO_sBM_cAll_d21_mHO5_ch06__mc150-4,48.859728384992984,361.2026952972569,134.831728986
1,134.86137467607418,8.906143585056606,aist__gHO_sBM_cAll_d21_mHO5_ch10__mc150-4,55.51521105662851,501.7314055384493,134.831728986
2,45.41590939007292,3.713132067245312,aist__gHO_sBM_cAll_d21_mHO5_ch10__mc150-4,18.058774334893176,338.1561924032106,45.413062702
3,89.95981266607791,6.888813145626773,aist__gHO_sBM_cAll_d21_mHO5_ch10__mc150-4,36.67759617359928,132.1670193704092,89.908066027
1,36.30919460084163,3.319933627481951,aist__gHO_sFM_cAll_d21_mHO5_ch20__mc150-4,24.580151876076346,624.3621786505988,45.413062702
2,134.47994491637303,8.96923016482604,aist__gHO_sFM_cAll_d21_mHO5_ch20__mc150-4,114.80480111987497,472.61985140602417,134.502688461
3,89.98837707197436,7.083072050108964,aist__gHO_sFM_cAll_d21_mHO5_ch20__mc150-4,36.96770935342652,662.8459641733031,89.986797732
