case_id,cluster,angle_stratum,internal_method,internal_method_key,metric,online,internal,internal_advantage
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,PA-MPJPE_mm,54.20497779059167,49.055777143358696,5.149200647232973
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,739.856523337216,718.4953440719182,21.36117926529778
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Anchor-root_mm,650.944464464922,677.8948526985085,-26.950388233586523
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Orientation_deg,102.20625613641286,51.68148253460078,50.52477360181208
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Seam-root_mm,478.7743480054108,879.7568436420961,-400.9824956366853
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Seam-orientation_deg,47.5340621754603,72.42342228922219,-24.88936011376189
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Camera-rotation_deg,134.86955481700463,69.52591313244419,65.34364168456044
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Camera-translation_m,9.514293007788316,5.169539634618823,4.344753373169493
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Boundary-camera-rotation_deg,89.97457647885409,61.579450972930225,28.395125505923865
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Boundary-camera-translation_m,6.356660968894289,4.945400298872055,1.4112606700222337
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,Human3R,m0_strict_human3r,Coverage,0.98,1.0,0.020000000000000018
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,PA-MPJPE_mm,54.20497779059167,48.96636816557612,5.238609625015549
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-MPJPE_mm,739.856523337216,855.2071228800608,-115.35059954284475
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Anchor-root_mm,650.944464464922,810.343604240935,-159.39913977601293
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Orientation_deg,102.20625613641286,48.978536659068666,53.227719477344195
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-root_mm,478.7743480054108,959.6955134445485,-480.9211654391377
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Seam-orientation_deg,47.5340621754603,71.90986384915465,-24.375801673694347
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-rotation_deg,134.86955481700463,63.67441646878052,71.1951383482241
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Camera-translation_m,9.514293007788316,4.917695732101783,4.596597275686533
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-rotation_deg,89.97457647885409,62.44259813946646,27.531978339387628
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Boundary-camera-translation_m,6.356660968894289,4.451845603911369,1.9048153649829196
aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-4,,BRIDGE3R,m15_bridge3r_fixed_v19,Coverage,0.98,1.0,0.020000000000000018
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,,Human3R,m0_strict_human3r,PA-MPJPE_mm,54.377764219101884,58.738297251146314,-4.3605330320444295
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,,Human3R,m0_strict_human3r,Anchor-MPJPE_mm,1032.199832240598,437.2601415801641,594.9396906604338
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,,Human3R,m0_strict_human3r,Anchor-root_mm,1003.3295790750607,384.36852340226284,618.9610556727978
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,,Human3R,m0_strict_human3r,Orientation_deg,56.568592292713326,45.88389245799691,10.684699834716419
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,,Human3R,m0_strict_human3r,Seam-root_mm,445.419307838024,161.9736487427599,283.4456590952641
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,,Human3R,m0_strict_human3r,Seam-orientation_deg,38.120261340676855,64.13427209101633,-26.014010750339473
aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-4,,Human3R,m0_strict_human3r,Camera-rotation_deg,73.93625821704758,60.5396822136018,13.39657600344578
