line,case_id,unit,sequence,angle_stratum,raw_status,evaluation_status,failure_reason,wall_time_seconds,native_track_count,W-MPJPE_mm,WA-MPJPE_mm,MPJPE_mm,PA-MPJPE_mm,MPVPE_mm,AdapterShared-W-MPJPE_mm,AdapterShared-WA-MPJPE_mm,ATE-Sim3_m,ATE-SE3_m,RPE-translation_m,RPE-rotation_deg,Camera-seam-translation_m,Camera-seam-rotation_deg,Human-seam_mm,IDF1,IDs,Coverage,Precision,W_available,WA_available,camera_reportable,evaluation,evaluation_bytes
14,ego_test_basketball_002_basketball_medium_cam03_cam01_b00301,002_basketball,basketball,medium,success,success,,560.459478855133,8,,,288.3677945023706,141.77614169212086,346.44849618243416,,141.7761116463234,1.9922869534405019,5.965369172011253,,,,,,0.002257336343115124,0.0,0.0025,0.00205761316872428,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line014/onlinehmr.evaluation.json,11160
15,ego_test_basketball_002_basketball_small_cam06_cam03_b00301,002_basketball,basketball,small,success,success,,560.4526453018188,9,1248.9078239981927,748.1630620851015,247.24648954017167,131.45269449781742,299.2006834028565,1552.6620745978876,912.0149939665658,2.322283826973546,3.514670403572497,0.07335407107842674,0.4798997074396411,7.0553080101180985,46.98041516695558,,0.05527638190954774,10.0,0.0825,0.08333333333333333,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line015/onlinehmr.evaluation.json,12765
16,ego_test_basketball_003_basketball_medium_cam03_cam01_b00286,003_basketball,basketball,medium,success,success,,475.3812892436981,13,,,,,,,,4.3956231024149846,5.980838954353885,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line016/onlinehmr.evaluation.json,10269
17,ego_test_basketball_003_basketball_small_cam03_cam06_b00286,003_basketball,basketball,small,success,success,,495.3973722457886,9,,,,,,,,2.587866069461602,3.5162837183657336,,,,,,0.0,0.0,0.0,0.0,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line017/onlinehmr.evaluation.json,10274
18,ego_test_fencing_001_fencing_extreme_cam10_cam07_b00301,001_fencing,fencing,extreme,success,success,,660.5464088916779,6,,,138.01215435484244,55.103515716897775,160.95275479136885,,128.72874817398676,2.9306304379918275,3.4769181661712865,,,,,,0.13036565977742448,0.0,0.13666666666666666,0.12462006079027356,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line018/onlinehmr.evaluation.json,11204
19,ego_test_fencing_001_fencing_large_cam14_cam03_b00301,001_fencing,fencing,large,success,success,,665.5464355945587,7,,,154.13141876359757,64.1580149868422,182.26401204463835,,935.9598587285401,1.693906348035626,2.9293187634859406,,,,,,0.14180206794682423,16.0,0.30666666666666664,0.2440318302387268,False,False,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line019/onlinehmr.evaluation.json,11223
20,ego_test_fencing_001_fencing_medium_cam13_cam10_b00301,001_fencing,fencing,medium,success,success,,620.5032234191895,5,1379.4981305669774,398.9383727685293,233.25784700617174,83.13103810019707,275.7688930162586,3173.2499799264665,701.7056684789006,1.0566388613393105,2.095670741975095,0.04743262421916938,0.8004661643590995,4.220297126025845,78.59618541831018,,0.25925925925925924,18.0,0.39473684210526316,0.4772727272727273,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line020/onlinehmr.evaluation.json,12634
21,ego_test_fencing_001_fencing_small_cam15_cam04_b00301,001_fencing,fencing,small,success,success,,680.5559911727905,13,95.2630790149041,95.2630790149041,389.17872139535564,93.99611804435004,466.4725613203119,97.52409553135189,95.2630790149041,0.08332414162237989,0.1181900853056301,0.029558943959701038,0.5035527031194654,1.822522898118058,27.38914016542796,,0.006191950464396285,0.0,0.01,0.004484304932735426,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line021/onlinehmr.evaluation.json,12498
22,ego_test_fencing_002_fencing_extreme_cam10_cam07_b00301,002_fencing,fencing,extreme,success,success,,650.5296621322632,6,3603.062891484294,191.12886937275294,133.9701420234751,60.07811958432333,158.91995683311936,3263.7867077001606,520.070456537274,2.527047947298844,3.4644919844677133,0.0761140618918998,1.824299993902945,6.976528404877104,179.62339024371892,,0.1890909090909091,1.0,0.216,0.18,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line022/onlinehmr.evaluation.json,12549
23,ego_test_fencing_002_fencing_large_cam11_cam12_b00301,002_fencing,fencing,large,success,success,,620.5062537193298,6,352.5242272292306,170.60439177424828,156.630511247763,75.89638393334748,189.40858029457317,1118.7670703762915,306.0735334431372,1.6219554853438252,3.029400036814026,0.06764931615343003,1.2930716985566073,6.1101581682308925,127.00576476722478,,0.09843400447427293,1.0,0.12244897959183673,0.09561752988047809,True,True,True,/data/wangzheng/iJCV-CODE/data/OnlineHMR_work_v1/runs/egohumans/attempt02/line023/onlinehmr.evaluation.json,12568
