boundary_order,camera_relative_rotation_deg,camera_relative_translation_m,case_id,seam_orientation_excess_deg,seam_root_excess_mm,transition_angle_deg
1,135.02422103474834,8.718109040283162,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,61.618872488439614,392.31281204789957,134.945766399
2,90.4906870035629,6.866131569312838,aist__gBR_sBM_cAll_d06_mBR2_ch01__mc150-3,53.967266698010675,54.95170233517557,90.473703724
1,135.04554759614598,8.764364738083515,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,47.97112442278156,519.0941031373267,134.945766399
2,44.54712070966823,3.645898951854865,aist__gBR_sBM_cAll_d06_mBR2_ch02__mc150-3,17.399066147526966,398.9876483210946,44.511050548
1,90.14228368526784,6.687383327905686,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,45.72062629934056,197.47665084064005,90.254734253
2,35.021490624814525,3.2139219157363526,aist__gBR_sBM_cAll_d06_mBR3_ch01__mc150-3,8.683108192881447,510.1870089474766,44.511050548
1,35.318511474529885,3.083527648615791,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,15.468954131757004,413.1380082360614,44.524424831
2,135.0424137564892,9.02162208516427,aist__gBR_sBM_cAll_d06_mBR3_ch02__mc150-3,74.4731153415275,245.95179342436725,134.92648831
1,90.17348263479813,6.7116798279158365,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,50.19418346156122,339.8086573500848,90.254734253
2,135.0245060769141,9.002848442068402,aist__gBR_sBM_cAll_d06_mBR4_ch01__mc150-3,63.6244472319426,261.08411895879385,134.92648831
1,135.03581946981356,8.7355372611194,aist__gBR_sBM_cAll_d06_mBR4_ch02__mc150-3,101.87210569868911,357.8990941985627,134.945766399
2,44.547120497489566,3.645898951854865,aist__gBR_sBM_cAll_d06_mBR4_ch02__mc150-3,16.83653345988365,509.8065122022598,44.511050548
1,135.03645573191824,8.728917427127927,aist__gBR_sBM_cAll_d06_mBR5_ch01__mc150-3,59.988229788769864,167.28202360219197,134.945766399
2,44.5471204977372,3.645898951854865,aist__gBR_sBM_cAll_d06_mBR5_ch01__mc150-3,25.614952552269575,593.2812327066189,44.511050548
1,135.0218741842494,8.744262631991008,aist__gBR_sBM_cAll_d06_mBR5_ch02__mc150-3,70.41333211504673,657.4417277012699,134.945766399
2,90.49068700275848,6.866131569312838,aist__gBR_sBM_cAll_d06_mBR5_ch02__mc150-3,24.48296775318249,290.2376174463473,90.473703724
1,72.74305820807304,6.117579987898531,aist__gHO_sBM_cAll_d21_mHO3_ch01__mc150-3,30.036259904713045,907.1044629691888,89.986797732
2,134.51190668514045,9.039329329959058,aist__gHO_sBM_cAll_d21_mHO3_ch01__mc150-3,56.704351321433535,205.73947891024966,134.502688461
1,35.58909040143268,3.262476619844188,aist__gHO_sBM_cAll_d21_mHO3_ch02__mc150-3,6.60602545108726,343.45467979391356,44.970501317
2,89.72660104628616,7.058116054055334,aist__gHO_sBM_cAll_d21_mHO3_ch02__mc150-3,34.404223893262895,534.7068004873292,89.731808913
1,134.85470766817986,8.91955006806799,aist__gHO_sBM_cAll_d21_mHO4_ch01__mc150-3,35.30366249174998,94.15957720547198,134.831728986
2,89.73456312739333,7.059897189487837,aist__gHO_sBM_cAll_d21_mHO4_ch01__mc150-3,48.72572020533238,157.96569865887878,89.731808913
1,134.86537177340057,8.936930572376264,aist__gHO_sBM_cAll_d21_mHO4_ch02__mc150-3,52.063418031727345,273.04800226562577,134.831728986
2,45.41590837561787,3.713132067245312,aist__gHO_sBM_cAll_d21_mHO4_ch02__mc150-3,13.429266452475696,417.2439204644672,45.413062702
1,134.86287436711763,8.894789298975727,aist__gHO_sBM_cAll_d21_mHO5_ch01__mc150-3,,,134.831728986
2,45.4159084057469,3.713132067245312,aist__gHO_sBM_cAll_d21_mHO5_ch01__mc150-3,24.947861994453746,558.7993577572958,45.413062702
1,134.89180329948653,8.97758625012224,aist__gHO_sBM_cAll_d21_mHO5_ch02__mc150-3,,,134.831728986
2,89.73456257531137,7.059897189487837,aist__gHO_sBM_cAll_d21_mHO5_ch02__mc150-3,39.979353263831634,505.17045279556515,89.731808913
1,89.7711980650054,6.925034278723882,aist__gHO_sBM_cAll_d21_mHO5_ch03__mc150-3,17.516818352508693,371.45906448313826,89.908066027
2,36.39167400705762,3.148034922664938,aist__gHO_sBM_cAll_d21_mHO5_ch03__mc150-3,10.623542910979475,214.40226975366312,45.413062702
1,89.83203498023991,6.962445421611793,aist__gHO_sBM_cAll_d21_mHO5_ch04__mc150-3,42.54489958190794,376.5585614769379,89.908066027
2,36.26646987945131,3.1807154548350085,aist__gHO_sBM_cAll_d21_mHO5_ch04__mc150-3,12.484258750415883,730.4901136941227,45.413062702
1,134.87170558371668,8.93627097028466,aist__gHO_sBM_cAll_d21_mHO5_ch05__mc150-3,,,134.831728986
2,45.415908273433075,3.713132067245312,aist__gHO_sBM_cAll_d21_mHO5_ch05__mc150-3,20.310121075472765,668.5481031517327,45.413062702
1,35.753317943247296,3.2122526925415875,aist__gHO_sBM_cAll_d21_mHO5_ch06__mc150-3,10.296175718455727,419.37489406006574,44.970501317
2,89.73362804027026,7.059729380278607,aist__gHO_sBM_cAll_d21_mHO5_ch06__mc150-3,32.594587221909094,258.20648510502,89.731808913
1,134.86819358365224,8.92488869128199,aist__gHO_sBM_cAll_d21_mHO5_ch10__mc150-3,39.3047042297183,581.8649364134203,134.831728986
2,45.41590832647214,3.713132067245312,aist__gHO_sBM_cAll_d21_mHO5_ch10__mc150-3,23.591436221450408,591.6033112057901,45.413062702
1,36.29379102138686,3.2418552905074494,aist__gHO_sFM_cAll_d21_mHO5_ch20__mc150-3,22.749267363089714,285.68291030385285,45.413062702
2,134.47538522219315,9.072360621915765,aist__gHO_sFM_cAll_d21_mHO5_ch20__mc150-3,,,134.502688461
1,135.39080705996145,8.805024272925879,aist__gJB_sBM_cAll_d09_mJB2_ch01__mc150-3,55.83911658200716,1064.916401472261,135.393325045
2,89.67827838849341,6.727240759358763,aist__gJB_sBM_cAll_d09_mJB2_ch01__mc150-3,,,89.664662591
1,135.387079940585,8.833756536464348,aist__gJB_sBM_cAll_d09_mJB2_ch02__mc150-3,72.49491221836942,661.5221207358752,135.393325045
2,89.67827840193293,6.727240759358763,aist__gJB_sBM_cAll_d09_mJB2_ch02__mc150-3,,,89.664662591
1,135.4813323299063,8.977866930823222,aist__gJB_sBM_cAll_d09_mJB3_ch01__mc150-3,,,135.470758724
2,44.90437136751599,3.6944809452196163,aist__gJB_sBM_cAll_d09_mJB3_ch01__mc150-3,19.79344069261752,230.7121740524733,44.898103728
1,36.12137815945678,3.097538137131426,aist__gJB_sBM_cAll_d09_mJB3_ch02__mc150-3,14.336428077731771,674.8640407424213,45.141505892
