split,case_id,angle_stratum,method,is_final_method,gate_enabled,candidate_W-MPJPE_mm,parent_W-MPJPE_mm,candidate_to_parent_W_ratio,W_harm_percent
holdout,egobody_recording_20220215_S21_S22_02_small_kinect_12_kinect_11_b03131,small,v20_gate_vel_r025_t075_b050,False,True,105.45128470243031,99.80315416959098,1.056592705709899,5.659270570989894
development,egobody_recording_20210918_S05_S06_04_small_kinect_11_kinect_12_b03651,small,v20_gate_vel_r025_t075_b050,False,True,182.66468126619614,172.94459913533709,1.0562034442211905,5.62034442211905
development,egobody_recording_20211004_S19_S06_01_medium_kinect_13_kinect_12_b03136,medium,v19_ungated_translation_b050,True,False,210.4665519101857,199.50702228015862,1.054933052003739,5.493305200373899
holdout,egobody_recording_20220215_S21_S22_02_small_kinect_12_kinect_11_b03131,small,v19_ungated_translation_b050,True,False,105.26480272671566,99.80315416959098,1.054724207892708,5.472420789270793
holdout,egobody_recording_20220215_S21_S22_02_small_kinect_12_kinect_11_b03131,small,v20_gate_r025_t075_b050,False,True,105.26480272671566,99.80315416959098,1.054724207892708,5.472420789270793
development,egobody_recording_20210918_S05_S06_04_small_kinect_11_kinect_12_b03651,small,v19_ungated_translation_b050,True,False,182.37926650618093,172.94459913533709,1.0545531194267639,5.4553119426763885
development,egobody_recording_20210918_S05_S06_04_small_kinect_11_kinect_12_b03651,small,v20_gate_r015_t050_b050,False,True,182.37926650618093,172.94459913533709,1.0545531194267639,5.4553119426763885
development,egobody_recording_20210918_S05_S06_04_small_kinect_11_kinect_12_b03651,small,v20_gate_r025_t075_b050,False,True,182.37926650618093,172.94459913533709,1.0545531194267639,5.4553119426763885
development,egobody_recording_20210918_S09_S05_03_medium_kinect_13_kinect_12_b02121,medium,v20_gate_r025_t100_b100,False,True,226.42704909611774,214.82044852745037,1.0540293098177023,5.4029309817702265
development,egobody_recording_20210907_S04_S03_01_extreme_kinect_11_kinect_13_b02471,extreme,v17_harmony_multicue_safe,False,True,201.66210571701635,193.0897833271875,1.044395525449957,4.439552544995706
development,egobody_recording_20211004_S19_S06_04_extreme_kinect_11_kinect_13_b02011,extreme,v19_ungated_translation_b050,True,False,440.1445884588233,431.04794220082374,1.0211035603407694,2.1103560340769434
development,egobody_recording_20211004_S19_S06_04_small_kinect_12_kinect_11_b02011,small,v19_ungated_translation_b050,True,False,238.67512820522893,235.75222740584877,1.0123981895379863,1.2398189537986326
development,egobody_recording_20211004_S19_S06_04_small_kinect_12_kinect_11_b02011,small,v20_gate_r025_t075_b050,False,True,238.67512820522893,235.75222740584877,1.0123981895379863,1.2398189537986326
development,egobody_recording_20210918_S09_S05_03_small_kinect_11_kinect_12_b02121,small,v19_ungated_translation_b050,True,False,229.7124284605027,227.00676458087497,1.0119188689580385,1.1918868958038509
development,egobody_recording_20210918_S09_S05_03_small_kinect_11_kinect_12_b02121,small,v20_gate_r025_t075_b050,False,True,229.7124284605027,227.00676458087497,1.0119188689580385,1.1918868958038509
development,egobody_recording_20211004_S19_S06_04_small_kinect_12_kinect_11_b02011,small,v20_gate_vel_r025_t075_b050,False,True,238.18840710911007,235.75222740584877,1.010333644479496,1.0333644479495918
holdout,egobody_recording_20220315_S21_S30_01_extreme_kinect_14_kinect_11_b03631,extreme,v17_harmony_multicue_safe,False,True,115.95759709768849,114.85863795187817,1.0095679277188605,0.9567927718860503
development,egobody_recording_20210918_S09_S05_03_small_kinect_11_kinect_12_b02121,small,v20_gate_vel_r025_t075_b050,False,True,228.95331260940813,227.00676458087497,1.0085748459175967,0.8574845917596718
development,egobody_recording_20210918_S09_S05_03_medium_kinect_13_kinect_12_b02121,medium,v17_harmony_multicue_safe,False,True,216.3658903935012,214.82044852745037,1.0071941096699337,0.7194109669933724
development,egobody_recording_20210918_S05_S06_01_medium_kinect_12_kinect_13_b02931,medium,v20_gate_r025_t100_b100,False,True,113.70491664328821,113.11732855307422,1.0051945011231265,0.5194501123126471
