split,case_count,strict_human3r_forward_fps_mean,strict_human3r_forward_fps_median,causal_detector_seconds_mean,causal_detector_fps_mean,whole_multi_method_protocol_seconds_mean,frozen_candidate_postprocess_case_count,frozen_candidate_postprocess_fps_mean,frozen_candidate_postprocess_seconds_mean,process_peak_host_rss_gib_max,deployed_single_method_fps_available,gpu_peak_memory_available,timing_contract
development,195,3.5011577726801466,3.515430764704665,17.797662117217595,8.497770793169511,310.5882705597398,195,954.2940551934263,0.31377756058310086,12.969352722167969,False,False,"component and whole multi-method protocol wall-clock diagnostics on recorded GPUs/shared server; the whole protocol includes model loads, multiple baselines, oracle/detector paths and I/O, so it is not deployed single-method end-to-end throughput; not hardware-normalized; host RSS only; GPU peak memory unmeasured"
holdout,48,3.3526070033727926,3.3565824344134794,20.115651832330816,7.661862368983339,407.22520880550536,48,805.485232201912,0.31105836579808965,12.940364837646484,False,False,"component and whole multi-method protocol wall-clock diagnostics on recorded GPUs/shared server; the whole protocol includes model loads, multiple baselines, oracle/detector paths and I/O, so it is not deployed single-method end-to-end throughput; not hardware-normalized; host RSS only; GPU peak memory unmeasured"
test,129,3.0444151977127567,3.1053039747913127,20.347487802097444,7.651001231541585,491.789928397763,129,689.8762307451805,0.4169985765100334,12.950042724609375,False,False,"component and whole multi-method protocol wall-clock diagnostics on recorded GPUs/shared server; the whole protocol includes model loads, multiple baselines, oracle/detector paths and I/O, so it is not deployed single-method end-to-end throughput; not hardware-normalized; host RSS only; GPU peak memory unmeasured"
