dataset,case_id,method,angle_stratum,angle_deg,person_count,status,failure_reason,catastrophic_evaluation,scene_point_count_pre,scene_point_count_post,correspondence_count,inlier_ratio,fit_residual,global_fitness,global_residual,matched_person_count,runtime_seconds
egobody,egobody_recording_20210921_S05_S12_01_medium_kinect_12_kinect_11_b02281,r1,medium,26.229418630719106,2,ok,,True,,,,,0.34790611267089844,,,2,0.00288763799926528
egobody,egobody_recording_20210921_S05_S12_01_medium_kinect_12_kinect_11_b02281,r2,medium,26.229418630719106,2,ok,,False,,,22,1.0,0.0912444490361695,,,2,0.08437770000000455
egobody,egobody_recording_20210921_S05_S12_01_medium_kinect_12_kinect_11_b02281,r3,medium,26.229418630719106,2,ok,,False,1955,2863,1383,0.48305972755850507,0.14737602409608397,0.5434858539993014,0.19569110463870273,,0.22988771099971927
egobody,egobody_recording_20210921_S05_S12_01_small_kinect_13_kinect_12_b02281,r1,small,4.618278041803539,2,ok,,False,,,,,0.043670326471328735,,,2,0.004146428999774798
egobody,egobody_recording_20210921_S05_S12_01_small_kinect_13_kinect_12_b02281,r2,small,4.618278041803539,2,ok,,False,,,22,1.0,0.04293494795716343,,,2,0.07627495399992767
egobody,egobody_recording_20210921_S05_S12_01_small_kinect_13_kinect_12_b02281,r3,small,4.618278041803539,2,ok,,False,1641,2586,1334,0.5158546017014695,0.1344757175893756,0.55723124516628,0.16231052418812783,,0.21621170100024756
egobody,egobody_recording_20210921_S05_S12_02_extreme_kinect_13_kinect_11_b01916,r1,extreme,31.032654192611474,2,ok,,True,,,,,0.530170202255249,,,2,0.0024165730001186603
egobody,egobody_recording_20210921_S05_S12_02_extreme_kinect_13_kinect_11_b01916,r2,extreme,31.032654192611474,2,ok,,False,,,22,1.0,0.09367318019616343,,,2,0.07286027100053616
egobody,egobody_recording_20210921_S05_S12_02_extreme_kinect_13_kinect_11_b01916,r3,extreme,31.032654192611474,2,ok,,True,2323,2323,1103,0.4748170469220835,0.14656351607609872,0.5376668101592768,0.1848308818760162,,0.31750693199956004
egobody,egobody_recording_20210921_S05_S12_02_medium_kinect_12_kinect_11_b01916,r1,medium,26.566357478139803,2,ok,,True,,,,,0.4620402753353119,,,2,0.002218801999333664
egobody,egobody_recording_20210921_S05_S12_02_medium_kinect_12_kinect_11_b01916,r2,medium,26.566357478139803,2,ok,,False,,,22,1.0,0.07416296091985679,,,2,0.07307813399984298
egobody,egobody_recording_20210921_S05_S12_02_medium_kinect_12_kinect_11_b01916,r3,medium,26.566357478139803,2,ok,,False,2285,2323,1303,0.5609126130004305,0.12379290464340573,0.616874730951356,0.15854882483383892,,0.21902737300024455
egobody,egobody_recording_20210921_S05_S12_02_small_kinect_13_kinect_12_b01916,r1,small,4.618278041803539,2,ok,,False,,,,,0.08767624199390411,,,2,0.0023486190002586227
egobody,egobody_recording_20210921_S05_S12_02_small_kinect_13_kinect_12_b01916,r2,small,4.618278041803539,2,ok,,False,,,22,1.0,0.020821967833803103,,,2,0.07717310699990776
egobody,egobody_recording_20210921_S05_S12_02_small_kinect_13_kinect_12_b01916,r3,small,4.618278041803539,2,ok,,False,2323,2339,1254,0.5361265498076101,0.11018955180207719,0.5553655408294143,0.14664287196364933,,0.18101418200058106
egobody,egobody_recording_20210921_S05_S12_03_extreme_kinect_11_kinect_13_b03356,r1,extreme,31.032654192611474,2,ok,,True,,,,,0.41503262519836426,,,2,0.0027968519998466945
egobody,egobody_recording_20210921_S05_S12_03_extreme_kinect_11_kinect_13_b03356,r2,extreme,31.032654192611474,2,ok,,False,,,22,1.0,0.13427985846159152,,,2,0.07619635599985486
egobody,egobody_recording_20210921_S05_S12_03_extreme_kinect_11_kinect_13_b03356,r3,extreme,31.032654192611474,2,ok,,True,3218,1987,1148,0.5777554101660796,0.13745881134779417,0.653749370910921,0.1788395609715198,,0.33343967699966015
egobody,egobody_recording_20210921_S05_S12_03_medium_kinect_11_kinect_12_b03356,r1,medium,26.566357478139803,2,ok,,True,,,,,0.48884373903274536,,,2,0.0025120609998339205
egobody,egobody_recording_20210921_S05_S12_03_medium_kinect_11_kinect_12_b03356,r2,medium,26.566357478139803,2,ok,,False,,,22,1.0,0.07707975880571008,,,2,0.07695648200024152
egobody,egobody_recording_20210921_S05_S12_03_medium_kinect_11_kinect_12_b03356,r3,medium,26.566357478139803,2,ok,,True,3218,2195,1204,0.5485193621867882,0.13710753441740078,0.5917995444191344,0.17377103145546924,,0.3471889669999655
egobody,egobody_recording_20210921_S05_S12_03_small_kinect_12_kinect_13_b03356,r1,small,4.618278041803539,2,ok,,False,,,,,0.252470999956131,,,2,0.0025305849994765595
egobody,egobody_recording_20210921_S05_S12_03_small_kinect_12_kinect_13_b03356,r2,small,4.618278041803539,2,ok,,False,,,22,0.5,0.0044425506705853025,,,2,0.07489785699999629
egobody,egobody_recording_20210921_S05_S12_03_small_kinect_12_kinect_13_b03356,r3,small,4.618278041803539,2,ok,,False,2059,1987,1231,0.6195269250125818,0.13132686297440477,0.6708605938600906,0.17870366768303553,,0.18400781200034544
egobody,egobody_recording_20210929_S05_S16_01_extreme_kinect_11_kinect_13_b02576,r1,extreme,52.5256414985483,2,ok,,True,,,,,1.237980842590332,,,2,0.0024004910001167445
egobody,egobody_recording_20210929_S05_S16_01_extreme_kinect_11_kinect_13_b02576,r2,extreme,52.5256414985483,2,ok,,True,,,22,1.0,0.08448949851812021,,,2,0.0728703900003893
egobody,egobody_recording_20210929_S05_S16_01_extreme_kinect_11_kinect_13_b02576,r3,extreme,52.5256414985483,2,ok,,False,2183,4095,2106,0.5142857142857142,0.15829891807376947,0.5785103785103786,0.2034540298223635,,0.6084090260001176
egobody,egobody_recording_20210929_S05_S16_01_medium_kinect_11_kinect_12_b02576,r1,medium,31.179027558816564,2,ok,,True,,,,,0.5579252243041992,,,2,0.002466711000124633
egobody,egobody_recording_20210929_S05_S16_01_medium_kinect_11_kinect_12_b02576,r2,medium,31.179027558816564,2,ok,,False,,,22,1.0,0.019401710478683495,,,2,0.07729586999994353
egobody,egobody_recording_20210929_S05_S16_01_medium_kinect_11_kinect_12_b02576,r3,medium,31.179027558816564,2,ok,,False,2183,3513,2121,0.6037574722459437,0.15323735524743032,0.6831767719897524,0.20307475922276907,,0.4998118319999776
egobody,egobody_recording_20210929_S05_S16_01_small_kinect_12_kinect_13_b02576,r1,small,21.369319060800606,2,ok,,True,,,,,0.7449420690536499,,,2,0.0023935960007293033
egobody,egobody_recording_20210929_S05_S16_01_small_kinect_12_kinect_13_b02576,r2,small,21.369319060800606,2,ok,,True,,,22,1.0,0.05764804933417223,,,2,0.07744606400046905
egobody,egobody_recording_20210929_S05_S16_01_small_kinect_12_kinect_13_b02576,r3,small,21.369319060800606,2,ok,,False,3853,4095,3228,0.7882783882783883,0.13115382637523784,0.8766788766788767,0.16983420064402396,,0.4714168199998312
egobody,egobody_recording_20210929_S05_S16_02_extreme_kinect_13_kinect_11_b02316,r1,extreme,52.5256414985483,2,ok,,True,,,,,0.902578592300415,,,2,0.002451817999826744
egobody,egobody_recording_20210929_S05_S16_02_extreme_kinect_13_kinect_11_b02316,r2,extreme,52.5256414985483,2,ok,,False,,,22,1.0,0.10225531143701504,,,2,0.08656279899969377
egobody,egobody_recording_20210929_S05_S16_02_extreme_kinect_13_kinect_11_b02316,r3,extreme,52.5256414985483,2,ok,,False,3913,1878,1495,0.7960596379126731,0.1487897686367931,0.820021299254526,0.19751995351964846,,0.36357229099940014
egobody,egobody_recording_20210929_S05_S16_02_medium_kinect_11_kinect_12_b02316,r1,medium,31.179027558816564,2,ok,,True,,,,,0.6523023843765259,,,2,0.0022410210003727116
egobody,egobody_recording_20210929_S05_S16_02_medium_kinect_11_kinect_12_b02316,r2,medium,31.179027558816564,2,ok,,False,,,22,1.0,0.17124932713134583,,,2,0.07751866899980087
egobody,egobody_recording_20210929_S05_S16_02_medium_kinect_11_kinect_12_b02316,r3,medium,31.179027558816564,2,ok,,False,2032,3529,1982,0.5616321904222159,0.14914354718767134,0.6455086426749788,0.20652899198955327,,0.5178713779996542
egobody,egobody_recording_20210929_S05_S16_02_small_kinect_12_kinect_13_b02316,r1,small,21.369319060800606,2,ok,,True,,,,,0.3258137106895447,,,2,0.0025617960000090534
egobody,egobody_recording_20210929_S05_S16_02_small_kinect_12_kinect_13_b02316,r2,small,21.369319060800606,2,ok,,False,,,22,1.0,0.017495229705889417,,,2,0.07425299900023674
egobody,egobody_recording_20210929_S05_S16_02_small_kinect_12_kinect_13_b02316,r3,small,21.369319060800606,2,ok,,False,3448,3860,3035,0.7862694300518135,0.13182406276140898,0.8567357512953367,0.1735780440089591,,0.4418419929997981
egobody,egobody_recording_20210929_S05_S16_03_extreme_kinect_11_kinect_13_b01076,r1,extreme,52.5256414985483,2,ok,,True,,,,,1.169342041015625,,,2,0.0020993360003558337
egobody,egobody_recording_20210929_S05_S16_03_extreme_kinect_11_kinect_13_b01076,r2,extreme,52.5256414985483,2,ok,,True,,,22,1.0,0.046027342115952725,,,2,0.07260626700008288
egobody,egobody_recording_20210929_S05_S16_03_extreme_kinect_11_kinect_13_b01076,r3,extreme,52.5256414985483,2,ok,,False,2049,3981,2054,0.515950766139161,0.15939468949317478,0.5106757096206983,0.21713025134108616,,0.556110966000233
egobody,egobody_recording_20210929_S05_S16_03_medium_kinect_11_kinect_12_b01076,r1,medium,31.179027558816564,2,ok,,True,,,,,0.7749668955802917,,,2,0.0024452269999528653
egobody,egobody_recording_20210929_S05_S16_03_medium_kinect_11_kinect_12_b01076,r2,medium,31.179027558816564,2,ok,,True,,,22,1.0,0.037193920897725045,,,2,0.07368304100054957
egobody,egobody_recording_20210929_S05_S16_03_medium_kinect_11_kinect_12_b01076,r3,medium,31.179027558816564,2,ok,,False,2049,3699,2193,0.5928629359286294,0.15776153994307687,0.643146796431468,0.19008354752050202,,0.5454428109997025
egobody,egobody_recording_20210929_S05_S16_03_small_kinect_13_kinect_12_b01076,r1,small,21.369319060800606,2,ok,,True,,,,,0.49977216124534607,,,2,0.0024745179998717504
egobody,egobody_recording_20210929_S05_S16_03_small_kinect_13_kinect_12_b01076,r2,small,21.369319060800606,2,ok,,False,,,22,1.0,0.040886830796385415,,,2,0.07673365400023613
egobody,egobody_recording_20210929_S05_S16_03_small_kinect_13_kinect_12_b01076,r3,small,21.369319060800606,2,ok,,False,3919,3699,3425,0.9259259259259259,0.1331525303725669,0.9543119762097865,0.18162082663660442,,0.42499993599994923
egobody,egobody_recording_20210929_S05_S16_04_extreme_kinect_13_kinect_11_b02616,r1,extreme,52.5256414985483,2,ok,,True,,,,,1.0912458896636963,,,2,0.002430194000226038
egobody,egobody_recording_20210929_S05_S16_04_extreme_kinect_13_kinect_11_b02616,r2,extreme,52.5256414985483,2,ok,,True,,,22,1.0,0.04625876072245027,,,2,0.07523289299933822
egobody,egobody_recording_20210929_S05_S16_04_extreme_kinect_13_kinect_11_b02616,r3,extreme,52.5256414985483,2,ok,,False,3725,2072,1711,0.8257722007722008,0.1465196804157081,0.8667953667953668,0.19717760328534825,,0.4104023719992256
egobody,egobody_recording_20210929_S05_S16_04_medium_kinect_12_kinect_11_b02616,r1,medium,31.179027558816564,2,ok,,True,,,,,0.6283887028694153,,,2,0.002592241999991529
egobody,egobody_recording_20210929_S05_S16_04_medium_kinect_12_kinect_11_b02616,r2,medium,31.179027558816564,2,ok,,False,,,22,1.0,0.04491290164454515,,,2,0.08472816700032126
egobody,egobody_recording_20210929_S05_S16_04_medium_kinect_12_kinect_11_b02616,r3,medium,31.179027558816564,2,ok,,False,3975,2072,1710,0.8252895752895753,0.13806848294969928,0.888996138996139,0.16461580011161292,,0.35480037500019534
egobody,egobody_recording_20210929_S05_S16_04_small_kinect_12_kinect_13_b02616,r1,small,21.369319060800606,2,ok,,True,,,,,0.49992290139198303,,,2,0.0025127090002570185
egobody,egobody_recording_20210929_S05_S16_04_small_kinect_12_kinect_13_b02616,r2,small,21.369319060800606,2,ok,,True,,,22,1.0,0.054604692306120264,,,2,0.07427617400026065
egobody,egobody_recording_20210929_S05_S16_04_small_kinect_12_kinect_13_b02616,r3,small,21.369319060800606,2,ok,,False,3975,3687,2995,0.8123135340385137,0.1230382874369994,0.8972064008679143,0.16662126752487907,,0.49855387800016615
egobody,egobody_recording_20211002_S17_S15_01_extreme_kinect_11_kinect_13_b02701,r1,extreme,70.68115481500743,2,ok,,True,,,,,0.8316097259521484,,,2,0.0030057350004426553
egobody,egobody_recording_20211002_S17_S15_01_extreme_kinect_11_kinect_13_b02701,r2,extreme,70.68115481500743,2,ok,,False,,,22,1.0,0.023037186095723448,,,2,0.08328720699955738
egobody,egobody_recording_20211002_S17_S15_01_extreme_kinect_11_kinect_13_b02701,r3,extreme,70.68115481500743,2,ok,,True,6150,6332,3451,0.5450094756790903,0.15684641640680072,0.6075489576753,0.19521294362867858,,1.1438990530004958
egobody,egobody_recording_20211002_S17_S15_01_medium_kinect_12_kinect_13_b02701,r1,medium,45.59407765444697,2,ok,,True,,,,,0.7275704741477966,,,2,0.0021981239997330704
egobody,egobody_recording_20211002_S17_S15_01_medium_kinect_12_kinect_13_b02701,r2,medium,45.59407765444697,2,ok,,False,,,22,1.0,0.11554454171841963,,,2,0.072312717999921
